OldID,SourceText,CandidateIDs,Comments,Locations
753072017460,Reinforcements incoming,262759711332 | 393125613572 | 442473417965 | 566935437518 | 824225611123,ModItemQuestsDef U-Bahn Label,jazz-maps:items.lua:91070
758655726202,<em>Dr. Gruselheim</em> offered to surrender once the <em>Cryolabor</em> where he is held is captured,124644487179 | 221287816048 | 373129537465 | 644722706491,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90134
793763762598,Next Wave,319107672555 | 519836353247 | 805887361386,ModItemQuestsDef RescueBiff Label,jazz-maps:items.lua:80612
794706671744,Infected,233797600440 | 455768038642 | 476896309486 | 686883983977 | 725879214066 | 899506875716,ModItemQuestsDef Sanatorium ChangeName,jazz-maps:items.lua:66679
810364444498,Reinforcements incoming,262759711332 | 393125613572 | 442473417965 | 566935437518 | 824225611123,ModItemQuestsDef U-Bahn Label,jazz-maps:items.lua:91015
826219805987,supported <em>Bounce</em>,643830919470 | 656562467979,ModItemQuestsDef Landsbach SpecialConversationMessage,jazz-maps:items.lua:73382
835954178557,Reinforcements incoming,262759711332 | 393125613572 | 442473417965 | 566935437518 | 824225611123,ModItemQuestsDef U-Bahn Label,jazz-maps:items.lua:91226
841635553770,<em>The Cryolabor</em> is under attack by <em>Siegfried von Essen</em> and his remaining Super Soldiers,239028673515 | 496679806415 | 726950651320,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90258
911599978706,<apn(GetUIActionPoints())>,106414160747 | 284604819801,ModItemXTemplate SquadsAndMercs Text,jazz:items.lua:78716
918421288416,Time to have a word with <em>Dr. Gruselheim</em> and decide what to do with him,268544000970 | 372721817455 | 990062790063,ModItemQuestsDef U-Bahn Text,jazz-maps:items.lua:90404
930222171187,executed <em>Jackhammer</em>,214809118469 | 377567445998,ModItemQuestsDef Luigi SpecialConversationMessage,jazz-maps:items.lua:84148
932415539065,supported <em>Bounce</em>,643830919470 | 656562467979,ModItemQuestsDef Landsbach SpecialConversationMessage,jazz-maps:items.lua:73387
934833275053,let <em>Jackhammer</em> go,204080306715 | 230538585605 | 799731083109,ModItemQuestsDef Luigi SpecialConversationMessage,jazz-maps:items.lua:84306
970183471349,executed <em>Jackhammer</em>,214809118469 | 377567445998,ModItemQuestsDef Luigi SpecialConversationMessage,jazz-maps:items.lua:84122
982772573921,Reinforcements incoming,262759711332 | 393125613572 | 442473417965 | 566935437518 | 824225611123,ModItemQuestsDef U-Bahn Label,jazz-maps:items.lua:91148
