Action,MatchKind,ContextKey,OldID,NewID,OldText,NewText,Occurrences,ActiveOccurrences,Packages,States,Locations,GameLocation,CandidateIDs,Applied
assign-mod-id,generated-context-not-in-game,Conversation Herman_1 KeywordT,118462598598,890000000001459,Get out of here,Get out of here,2,2,jazz-maps,moditems,jazz-maps:items.lua:22510 | jazz-maps:items.lua:22562,,118462598598,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for K22,119007272810,890000000001460,Bien Chien Island,Bien Chien Island,1,1,jazz-maps,moditems,jazz-maps:items.lua:39785,,119007272810 | 282699334168 | 452842482038,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L27,123414445659,890000000001461,Great Forest,Great Forest,1,1,jazz-maps,moditems,jazz-maps:items.lua:40607,,123414445659 | 213555945745 | 250036862857 | 410045411963 | 471933787811 | 504986718282 | 521934355525 | 549167447088 | 656751822276 | 685169154774 | 707260253276 | 785169160617 | 809938488396 | 848825509009 | 879602359099,yes
assign-mod-id,generated-context-not-in-game,BanterDef Ernie_VillagerMale_18 Text section:Banters_Local_Ernie/Ernie_VillagerMale_18 Fort taken voice:CivilianMale_1,125772780842,890000000001462,"Вы ведь не позволите этим бандитам вновь занять <em>форт</em>, да? Там у берега самое рыбное место!","Вы ведь не позволите этим бандитам вновь занять <em>форт</em>, да? Там у берега самое рыбное место!",1,1,jazz-maps,moditems,jazz-maps:items.lua:107524,,125772780842,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for M26,126600612391,890000000001463,Farmland,Farmland,1,1,jazz-maps,moditems,jazz-maps:items.lua:41172,,103040008364 | 126600612391 | 340166429972 | 568113508607 | 671801258616 | 696031593743 | 767396046195 | 847414401039 | 857182189161 | 960290634722,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for H27,128516117143,890000000001464,Jungle River Bank,Jungle River Bank,1,1,jazz-maps,moditems,jazz-maps:items.lua:36956,,128516117143 | 160577757419 | 389634246053 | 491457898220 | 537668990878 | 544298596474 | 623601870272 | 626219260053 | 697092134355 | 797363541950 | 864553029424 | 893101227500,yes
assign-mod-id,,InventoryItemCompositeDef SkillMag_Marksmanship DisplayNamePlural,130303695300,890000000001465,Long Distance Relations,Long Distance Relations,2,2,jazz,loaded | moditems,jazz:InventoryItem/SkillMag_Marksmanship.lua:11 | jazz:items.lua:52552,,,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for C29,130761115220,890000000001466,Barrens,Barrens,1,1,jazz-maps,moditems,jazz-maps:items.lua:33136,,130761115220 | 354140743120 | 774425543634,yes
restore-vanilla,generated-context,BanterDef Ernie_Basil_01_approach Text section:Banters_Local_Ernie/Ernie_Basil_01_approach voice:Len,132730944600,132730944600,К чему нам готовиться?,Any idea what to expect?,1,1,jazz-maps,moditems,jazz-maps:items.lua:107785,"BanterDef Ernie_Basil_01_approach Text ",132730944600,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for I6,141041612699,890000000001467,The Rust,The Rust,1,1,jazz-maps,moditems,jazz-maps:items.lua:38098,,141041612699 | 235797842568 | 547312504228,yes
assign-mod-id,generated-context-not-in-game,BanterDef Shared_Conversation_Legion_13_Outlook Text section:SharedOverheard_Custom/Shared_Conversation_Legion_13_Outlook Stealth hint banters voice:LegionBanterActor1,144579990752,890000000001468,Да что Бастьен с парнями так долго? И вообще: там опять стреляли! План-то был прокрасться мимо охраны и похитить сучку.,Да что Бастьен с парнями так долго? И вообще: там опять стреляли! План-то был прокрасться мимо охраны и похитить сучку.,1,1,jazz-maps,moditems,jazz-maps:items.lua:107923,,144579990752,yes
assign-mod-id,generated-context-not-in-game,"BanterDef Ernie_VillagerFemale_13 Text section:Banters_Local_Ernie/Ernie_VillagerFemale_13 Fort not taken, world flip voice:CivilianFemale_1",144948164886,890000000001469,"Пожалуйста, отбейте <em>форт</em> у чужаков! Я знаю: они там занимаются секретными экспериментами. Хотят разработать страшный вирус, чтобы мы все сошли с ума!","Пожалуйста, отбейте <em>форт</em> у чужаков! Я знаю: они там занимаются секретными экспериментами. Хотят разработать страшный вирус, чтобы мы все сошли с ума!",1,1,jazz-maps,moditems,jazz-maps:items.lua:107396,,144948164886,yes
restore-vanilla,generated-context,BanterDef Ernie_Basil_04 Text section:Banters_Local_Ernie/Ernie_Basil_04 voice:PierreMerc,148036076357,148036076357,"Прости, что приложил к этому руку, дядя Базиль. Я не могу изменить прошлого, но одно я тебе обещаю: мы вышвырнем этих псов из «Адониса» с нашего острова и вернем форт его законным хозяевам - жителям Эрни.","I am sorry for my role in that, Uncle Basil. I cannot change the past, but I can promise you this: we will throw those Adonis dogs off the island, and the Fort will be given to its rightful owners - the people of Ernie.",1,1,jazz-maps,moditems,jazz-maps:items.lua:107834,"BanterDef Ernie_Basil_04 Text ",148036076357,yes
restore-vanilla,generated-context,CampaignPreset HotDiamonds display_name Sector name for D6,149503142162,149503142162,Окраины Пантагрюэля,Pantagruel Outskirts,1,1,jazz-maps,moditems,jazz-maps:items.lua:2186,CampaignPreset HotDiamonds display_name Sector name for D6,149503142162 | 583635322490,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for E14,149503142162,890000000001470,Окраины Пантагрюэля,Окраины Пантагрюэля,1,1,jazz-maps,moditems,jazz-maps:items.lua:34256,,149503142162 | 583635322490,yes
assign-mod-id,generated-context-not-in-game,BanterDef Ernie_Basil_01_approach Text section:Banters_Local_Ernie/Ernie_Basil_01_approach Fort not taken >> hint to Corazon location voice:GreasyBasil,158172305588,890000000001471,"Если я правильно помню, в форте был бункер, но его давно затопило. Судя по насосным станциям на тех грузовиках, она намеревалась откачать оттуда воду.","Если я правильно помню, в форте был бункер, но его давно затопило. Судя по насосным станциям на тех грузовиках, она намеревалась откачать оттуда воду.",1,1,jazz-maps,moditems,jazz-maps:items.lua:107796,,158172305588,yes
assign-mod-id,generated-context-not-in-game,BanterDef Ernie_Pierre_06 Text section:Banters_Local_Ernie/Ernie_Pierre_06 Fort not taken - NOT USED voice:Pierre,163925737506,890000000001472,Пора разобраться с <em>Сантьяго</em>. Когда соберетесь штурмовать форт - рейнджеры Эрни вам помогут.,Пора разобраться с <em>Сантьяго</em>. Когда соберетесь штурмовать форт - рейнджеры Эрни вам помогут.,1,1,jazz-maps,moditems,jazz-maps:items.lua:107593,,163925737506,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for K26,173354836621,890000000001473,Middle of Somewhere,Middle of Somewhere,1,1,jazz-maps,moditems,jazz-maps:items.lua:39856,,173354836621,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for N29,173354836621,890000000001473,Middle of Somewhere,Middle of Somewhere,1,1,jazz-maps,moditems,jazz-maps:items.lua:41849,,173354836621,yes
restore-vanilla,generated-context,CampaignPreset HotDiamonds display_name Sector name for C3,179638259190,978432263239,Кладбище Брокенхилл,Broken Hill Cemetery,1,1,jazz-maps,moditems,jazz-maps:items.lua:2426,CampaignPreset HotDiamonds display_name Sector name for C3,978432263239,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for H14,182607269744,890000000001474,Mfumu's Mine,Mfumu's Mine,1,1,jazz-maps,moditems,jazz-maps:items.lua:36605,,182607269744,yes
assign-mod-id,generated-context-not-in-game,BanterDef Ernie_Basil_04 Text section:Banters_Local_Ernie/Ernie_Basil_04 Fort not taken voice:GreasyBasil,185741479535,890000000001475,"Покуда эти ненасытные мерзавцы из <em>«Адониса»</em> сидят в <em>форте Ло-Блё</em>, нам не будет покоя. Повторяется история с Легионом: они отбирают у нас всё, что им заблагорассудится.","Покуда эти ненасытные мерзавцы из <em>«Адониса»</em> сидят в <em>форте Ло-Блё</em>, нам не будет покоя. Повторяется история с Легионом: они отбирают у нас всё, что им заблагорассудится.",1,1,jazz-maps,moditems,jazz-maps:items.lua:107827,,185741479535,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for K4,185948484340,890000000001476,Flag Hill,Flag Hill,1,1,jazz-maps,moditems,jazz-maps:items.lua:40029,,185948484340,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for A4,189910903608,890000000001477,Diamond Red,Diamond Red,1,1,jazz-maps,moditems,jazz-maps:items.lua:31921,,189910903608,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for G9,191576416065,890000000001478,Côte d'Azur,Côte d'Azur,1,1,jazz-maps,moditems,jazz-maps:items.lua:36444,,191576416065 | 346335410627,yes
assign-mod-id,generated-context-not-in-game,BanterDef Shared_Conversation_Legion_07_Ernie Text section:SharedOverheard_Enemies/Shared_Conversation_Legion_07_Ernie not taken Ernie Fort voice:LegionMale_1,202191780131,890000000001479,"Да пошел ты! Первая же шашка, какую найду, отправится прямиком в ТВОЙ зад!","Да пошел ты! Первая же шашка, какую найду, отправится прямиком в ТВОЙ зад!",1,1,jazz-maps,moditems,jazz-maps:items.lua:107979,,202191780131,yes
assign-mod-id,generated-context-not-in-game,"BanterDef Ernie_VillagerMale_19 Text section:Banters_Local_Ernie/Ernie_VillagerMale_19 Fort taken, world flip voice:CivilianMale_2",205854929753,890000000001480,"Отнекивайтесь сколько угодно. Я-то знаю, что масоны с вас взяли расписку о неразглашении.","Отнекивайтесь сколько угодно. Я-то знаю, что масоны с вас взяли расписку о неразглашении.",1,1,jazz-maps,moditems,jazz-maps:items.lua:107570,,205854929753,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L15,209909493905,890000000001481,Camp La Barrière,Camp La Barrière,1,1,jazz-maps,moditems,jazz-maps:items.lua:40265,,209909493905 | 498988722915,yes
assign-mod-id,,InventoryItemCompositeDef SkillMag_Health DisplayName,211277073057,890000000001482,An Apple a Day,An Apple a Day,2,2,jazz,loaded | moditems,jazz:InventoryItem/SkillMag_Health.lua:10 | jazz:items.lua:52498,,,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for I15,212115428613,890000000001483,Jungle,Jungle,1,1,jazz-maps,moditems,jazz-maps:items.lua:37302,,212115428613 | 479373881405 | 550382054096 | 567363836892,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for I22,213555945745,890000000001484,Great Forest,Great Forest,1,1,jazz-maps,moditems,jazz-maps:items.lua:37532,,123414445659 | 213555945745 | 250036862857 | 410045411963 | 471933787811 | 504986718282 | 521934355525 | 549167447088 | 656751822276 | 685169154774 | 707260253276 | 785169160617 | 809938488396 | 848825509009 | 879602359099,yes
restore-vanilla,generated-context,BanterDef Ernie_VillagerMale_19 Text section:Banters_Local_Ernie/Ernie_VillagerMale_19 voice:Sidney,227014618373,227014618373,Скажете тоже... Как вам это только в голову взбрело?,My good man... What the devil are you talking about?,1,1,jazz-maps,moditems,jazz-maps:items.lua:107555,"BanterDef Ernie_VillagerMale_19 Text ",227014618373,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for A26,230692696131,890000000001485,Landsbach,Landsbach,1,1,jazz-maps,moditems,jazz-maps:items.lua:31792,,230692696131 | 500733625274 | 595580526025,yes
assign-mod-id,generated-context-not-in-game,Conversation Herman_1 KeywordT,236527406375,890000000001486,CombatRedirect,CombatRedirect,1,1,jazz-maps,moditems,jazz-maps:items.lua:22621,,236527406375,yes
assign-mod-id,generated-context-not-in-game,Conversation Deedee KeywordT,242677370659,890000000001487,Are you okay?,Are you okay?,1,1,jazz-maps,moditems,jazz-maps:items.lua:24023,,242677370659,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for A25,246964272688,890000000001488,Drachenberg Mine,Drachenberg Mine,1,1,jazz-maps,moditems,jazz-maps:items.lua:31714,,246964272688,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for I22_Underground,247989068796,890000000001489,Secret Tunnel,Secret Tunnel,1,1,jazz-maps,moditems,jazz-maps:items.lua:37560,,247989068796,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for H23,250036862857,890000000001490,Great Forest,Great Forest,1,1,jazz-maps,moditems,jazz-maps:items.lua:36858,,123414445659 | 213555945745 | 250036862857 | 410045411963 | 471933787811 | 504986718282 | 521934355525 | 549167447088 | 656751822276 | 685169154774 | 707260253276 | 785169160617 | 809938488396 | 848825509009 | 879602359099,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for H22,253851641741,890000000001491,Old Fortifications,Old Fortifications,1,1,jazz-maps,moditems,jazz-maps:items.lua:36817,,253851641741,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for I16,255718656499,890000000001492,Abandoned Mansion,Abandoned Mansion,1,1,jazz-maps,moditems,jazz-maps:items.lua:37324,,255718656499,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for F9,258117774774,890000000001493,Savanna,Savanna,1,1,jazz-maps,moditems,jazz-maps:items.lua:35574,,105404009840 | 258117774774 | 293659664903 | 342048825717 | 352010995873 | 503047310675 | 682201321520 | 718471746619 | 771114970857 | 791011159552 | 806536099316 | 821862654085 | 849017194251 | 932097434495 | 939347628749 | 939476433141 | 991978958821,yes
assign-mod-id,,InventoryItemCompositeDef SkillMag_Marksmanship DisplayName,262432851703,890000000001494,Long Distance Relations,Long Distance Relations,2,2,jazz,loaded | moditems,jazz:InventoryItem/SkillMag_Marksmanship.lua:10 | jazz:items.lua:52551,,,yes
restore-vanilla,generated-context,BanterDef Ernie_VillagerMale_05 Text section:Banters_Local_Ernie/Ernie_VillagerMale_05 voice:CivilianMale_2,270674515672,270674515672,"Говорят, в <em>Жестянке</em> можно найти немало металлолома.",I heard there's some good scrap you can find out in the <em>Rust</em>.,1,1,jazz-maps,moditems,jazz-maps:items.lua:107452,"BanterDef Ernie_VillagerMale_05 Text ",270674515672,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for D26,271555251523,890000000001495,Stone Stairs,Stone Stairs,1,1,jazz-maps,moditems,jazz-maps:items.lua:33778,,271555251523,yes
assign-mod-id,,InventoryItemCompositeDef SkillMag_Wisdom DisplayName,281562344902,890000000001496,Grilled Bears' Survival Guide,Grilled Bears' Survival Guide,2,2,jazz,loaded | moditems,jazz:InventoryItem/SkillMag_Wisdom.lua:10 | jazz:items.lua:52658,,,yes
assign-mod-id,generated-context-not-in-game,BanterDef Shared_Conversation_Legion_07_Ernie Text section:SharedOverheard_Enemies/Shared_Conversation_Legion_07_Ernie not taken Ernie Fort voice:LegionMale_1,282692747253,890000000001497,Давай сладкую ложь.,Давай сладкую ложь.,1,1,jazz-maps,moditems,jazz-maps:items.lua:107963,,282692747253,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for K23,282699334168,890000000001498,Bien Chien Island,Bien Chien Island,1,1,jazz-maps,moditems,jazz-maps:items.lua:39811,,119007272810 | 282699334168 | 452842482038,yes
restore-vanilla,generated-context,BanterDef Ernie_Billy_07 Text section:Banters_Local_Ernie/Ernie_Billy_07 voice:Blood,291022849378,291022849378,"Что? Ты что, за мной следил?",How did you know that? Have you been watching me?,1,1,jazz-maps,moditems,jazz-maps:items.lua:107657,"BanterDef Ernie_Billy_07 Text ",291022849378,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for C12,292780704413,890000000001499,The PitStop,The PitStop,1,1,jazz-maps,moditems,jazz-maps:items.lua:32686,,292780704413,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for G14,293659664903,890000000001500,Savanna,Savanna,1,1,jazz-maps,moditems,jazz-maps:items.lua:35812,,105404009840 | 258117774774 | 293659664903 | 342048825717 | 352010995873 | 503047310675 | 682201321520 | 718471746619 | 771114970857 | 791011159552 | 806536099316 | 821862654085 | 849017194251 | 932097434495 | 939347628749 | 939476433141 | 991978958821,yes
restore-vanilla,generated-context,BanterDef Ernie_Billy_07 Text section:Banters_Local_Ernie/Ernie_Billy_07 voice:Igor,297696721772,297696721772,"Да. Смотри, не разболтай мой план. Будешь держать язык за зубами - попрошу объявить тебе благодарность.","That is my plan, but you must never speak of it. If you are very quiet, I will make sure you get commendation.",1,1,jazz-maps,moditems,jazz-maps:items.lua:107665,"BanterDef Ernie_Billy_07 Text ",297696721772,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for B26,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:32404,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for K20,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:39676,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for K25,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:39840,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L12,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40224,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L14,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40248,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L20,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40500,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L21,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40514,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L22,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40528,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L23,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40542,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L24,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40556,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for L25,297775590352,890000000001501,River,River,1,1,jazz-maps,moditems,jazz-maps:items.lua:40570,,125315535008 | 138039821738 | 145916796360 | 179895923768 | 234392643712 | 297775590352 | 372463804281 | 436897165430 | 457686958031 | 490578902610 | 786098989730 | 801598516866 | 807761381392 | 848078836283 | 862044633053 | 890689046462 | 947087853314 | 997658827929,yes
assign-mod-id,,InventoryItemCompositeDef SkillMag_Health DisplayNamePlural,312204213439,890000000001502,An Apple a Day,An Apple a Day,2,2,jazz,loaded | moditems,jazz:InventoryItem/SkillMag_Health.lua:11 | jazz:items.lua:52499,,,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for O13,323317575390,890000000001503,The Dump,The Dump,1,1,jazz-maps,moditems,jazz-maps:items.lua:42048,,323317575390 | 979834871474,yes
assign-mod-id,generated-context-not-in-game,Conversation Pierre_2 KeywordT,328092960140,890000000001504,Redirect,Redirect,4,4,jazz-maps,moditems,jazz-maps:items.lua:13738 | jazz-maps:items.lua:19401 | jazz-maps:items.lua:23444 | jazz-maps:items.lua:27054,,328092960140,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for I16_Underground,330382796368,890000000001505,Mansion Cellar,Mansion Cellar,1,1,jazz-maps,moditems,jazz-maps:items.lua:37362,,330382796368,yes
assign-mod-id,,InventoryItemCompositeDef SkillMag_Wisdom DisplayNamePlural,338161393803,890000000001506,Grilled Bears' Survival Guide,Grilled Bears' Survival Guide,2,2,jazz,loaded | moditems,jazz:InventoryItem/SkillMag_Wisdom.lua:11 | jazz:items.lua:52659,,,yes
assign-mod-id,generated-context-not-in-game,"BanterDef Ernie_Billy_09 Text section:Banters_Local_Ernie/Ernie_Billy_09 world flip, Fort taken voice:BillyBoy",339720391638,890000000001507,"Я попрошу Базиля построить в форте тир для базук, чтобы вы смогли устраивать там стрельбища!","Я попрошу Базиля построить в форте тир для базук, чтобы вы смогли устраивать там стрельбища!",1,1,jazz-maps,moditems,jazz-maps:items.lua:107718,,339720391638,yes
assign-mod-id,generated-context-not-in-game,CampaignPreset HotDiamonds display_name Sector name for G23,344714388063,890000000001508,Cursed Forest,Cursed Forest,1,1,jazz-maps,moditems,jazz-maps:items.lua:36068,,115280237493 | 344714388063 | 414959957372 | 649302248086 | 786216029389 | 973521625755,yes
restore-vanilla,generated-context,BanterDef Martha_02_PostLynch_Herman Text section:Banters_Local_Ernie/Martha_02_PostLynch_Herman voice:Martha,347177621288,347177621288,"А ведь я предупреждала. Говорила: «‎Герман! Держись подальше от этой Диди, она тебя погубит!» И я была права.","I told him. I said, ""Herman! You stay away from that Deedee or it'll be the death of you!"" Well, I was right.",1,1,jazz-maps,moditems,jazz-maps:items.lua:107274,"BanterDef Martha_02_PostLynch_Herman Text ",347177621288,yes
restore-vanilla,generated-context,BanterDef Ernie_VillagerMale_19 Text section:Banters_Local_Ernie/Ernie_VillagerMale_19 voice:Shadow,347219299427,347219299427,"Мы не можем ни подтвердить, ни опровергнуть информацию о секретной установке по управлению погодой.",I can neither confirm nor deny the existence of a secret weather control device.,1,1,jazz-maps,moditems,jazz-maps:items.lua:107563,"BanterDef Ernie_VillagerMale_19 Text ",347219299427,yes
