ID,SourceText,Russian,English,Notes
890000000002202,Лейтенант Конрад Джиллет,Лейтенант Конрад Джиллет,Lieutenant Conrad Gillett,design=docs/design/mercs-ja12/conrad.md; unit=Jazz_Conrad; field=Name; status=ready; executable=true
890000000002205,"Сильнейший из доступных местных наёмников: статы 75–80, Leadership 51 и полноценный инструктор, Marksmanship 95. Дружит с Игги и Стефаном; терпеть не может пьяного Ларри; не умеет плавать (флейвор). Дорог — берёт заметно выше рынка и торгуется жёстко.","Сильнейший из доступных местных наёмников: статы 75–80, Leadership 51 и полноценный инструктор, Marksmanship 95. Дружит с Игги и Стефаном; терпеть не может пьяного Ларри; не умеет плавать (флейвор). Дорог — берёт заметно выше рынка и торгуется жёстко.","The strongest local hire on offer: stats in the 75-80 range, Leadership 51 with a full training set, 95 Marksmanship. Friends with Iggy and Stefan; can't stand a drunk Larry; never learned to swim (flavor only). Expensive — charges well above market and haggles hard.",design=docs/design/mercs-ja12/conrad.md; unit=Jazz_Conrad; field=Bio; status=ready; executable=true
890000000004402,Даг «Кардан» Милтон,Даг «Кардан» Милтон,"Doug ""Cord"" Milton",design=docs/design/mercs-ja12/cord.md; unit=Jazz_Cord; field=Name; status=ready; executable=true
890000000004405,"Статы 60–70, Dexterity 89, Wisdom 49, Marksmanship 44, Mechanical 82. Забывчив — по слухам из JA2, забывает часть навыков после долгой работы, но JAZZ не реализует это механически, только в биографии. Неровно дышит к Вики; не любит Ивана и Игоря; недолюбливает русских.","Статы 60–70, Dexterity 89, Wisdom 49, Marksmanship 44, Mechanical 82. Забывчив — по слухам из JA2, забывает часть навыков после долгой работы, но JAZZ не реализует это механически, только в биографии. Неровно дышит к Вики; не любит Ивана и Игоря; недолюбливает русских.","Stats in the 60-70 range, 89 Dexterity, 49 Wisdom, 44 Marksmanship, 82 Mechanical. Forgetful — JA2 rumor has him losing bits of skill after long jobs, but JAZZ keeps that as flavor only, not a mechanic. Has an unrequited crush on Vicki; can't stand Ivan or Igor; not fond of Russians.",design=docs/design/mercs-ja12/cord.md; unit=Jazz_Cord; field=Bio; status=ready; executable=true
890000000003102,Джим «Пума» Уоллесс,Джим «Пума» Уоллесс,"Jim ""Cougar"" Wallace",design=docs/design/mercs-ja12/cougar.md; unit=Jazz_Cougar; field=Name; status=ready; executable=true
890000000003105,"Статы 80–88, Marksmanship 93, Mechanical 58, Explosives 45, Medical 33. Мастер бесшумного автоогня — умеет подойти вплотную и снять цель раньше, чем она поймёт, что рядом кто-то есть. Дружит с Вульфом и Леном.","Статы 80–88, Marksmanship 93, Mechanical 58, Explosives 45, Medical 33. Мастер бесшумного автоогня — умеет подойти вплотную и снять цель раньше, чем она поймёт, что рядом кто-то есть. Дружит с Вульфом и Леном.","Stats in the 80-88 range, 93 Marksmanship, 58 Mechanical, 45 Explosives, 33 Medical. A master of silent auto-fire — closes to point-blank range and drops a target before it even knows someone's there. Friends with Wolf and Len.",design=docs/design/mercs-ja12/cougar.md; unit=Jazz_Cougar; field=Bio; status=ready; executable=true
890000000004635,Девин Коннелл,Девин Коннелл,Devin Connell,design=docs/design/mercs-ja12/devin.md; unit=Jazz_Devin; field=Name; status=ready; executable=true
890000000004638,"Статы 60–70, Dexterity 88, Explosives 96. Одиночка, бывший боец ИРА. Симпатизирует Реду; недолюбливает британцев.","Статы 60–70, Dexterity 88, Explosives 96. Одиночка, бывший боец ИРА. Симпатизирует Реду; недолюбливает британцев.","Stats in the 60-70 range, 88 Dexterity, 96 Explosives. A loner and former IRA fighter. Gets along with Red; not fond of the British.",design=docs/design/mercs-ja12/devin.md; unit=Jazz_Devin; field=Bio; status=ready; executable=true
890000000002002,Димитрий Газзо,Димитрий Газзо,Dimitri Gazzo,design=docs/design/mercs-ja12/dimitri.md; unit=Jazz_Dimitri; field=Name; status=ready; executable=true
890000000002005,"Статы под 70, ловкость 50, механика 71. Забывчивый — может остановиться посреди хода и переспросить, куда шёл. Дружит с Мигелем и Карлосом; недолюбливает Ротмана за высокомерие. Крафтит и точит собственные метательные ножи — бонус к ведущему навыку броска.","Статы под 70, ловкость 50, механика 71. Забывчивый — может остановиться посреди хода и переспросить, куда шёл. Дружит с Мигелем и Карлосом; недолюбливает Ротмана за высокомерие. Крафтит и точит собственные метательные ножи — бонус к ведущему навыку броска.","Stats around 70, Agility 50, Mechanical 71. Forgetful — may stop mid-move and ask where he was headed (Bio flavor only, no gameplay penalty). Friends with Miguel and Carlos; dislikes Rothman's arrogance. Crafts and hones his own throwing knives for a bonus to his governing throw skill check.",design=docs/design/mercs-ja12/dimitri.md; unit=Jazz_Dimitri; field=Bio; status=ready; executable=true
890000000003402,Грег «Динамо» Дункан,Грег «Динамо» Дункан,"Greg ""Dynamo"" Duncan",design=docs/design/mercs-ja12/dynamo.md; unit=Jazz_Dynamo; field=Name; status=ready; executable=true
890000000003405,"Статы 55–65, Marksmanship 68, Mechanical 67, Wisdom 78. Бывший заключённый с извращённым чувством юмора насчёт ранений — знает, куда бить, чтобы противник ослеп или запаниковал. Дружит с Шенком и Кровью; не любит Мясо. Дёшев, готов работать почти за идею.","Статы 55–65, Marksmanship 68, Mechanical 67, Wisdom 78. Бывший заключённый с извращённым чувством юмора насчёт ранений — знает, куда бить, чтобы противник ослеп или запаниковал. Дружит с Шенком и Кровью; не любит Мясо. Дёшев, готов работать почти за идею.","Stats in the 55-65 range, 68 Marksmanship, 67 Mechanical, 78 Wisdom. A former convict with a twisted sense of humor about wounds — knows exactly where to hit to blind or panic an enemy. Friends with Shank and Blood; can't stand Meat. Cheap, willing to work for almost nothing.",design=docs/design/mercs-ja12/dynamo.md; unit=Jazz_Dynamo; field=Bio; status=ready; executable=true
890000000004811,Эмиль «Эскимо» Кимос,Эмиль «Эскимо» Кимос,"Emile ""Eskimo"" Kimos",design=docs/design/mercs-ja12/eskimo.md; unit=Jazz_Eskimo; field=Name; status=ready; executable=true
890000000004814,"Night Ops. Повстанец, воевавший за Мигеля; схвачен и брошен Дейдранной в тюрьму Альмы. После освобождения присоединяется к игроку. Ненавидит арабов и жару. Любит Мигеля, Карлоса и Гамоса. Здоровье 97, Меткость 95.","Night Ops. Повстанец, воевавший за Мигеля; схвачен и брошен Дейдранной в тюрьму Альмы. После освобождения присоединяется к игроку. Ненавидит арабов и жару. Любит Мигеля, Карлоса и Гамоса. Здоровье 97, Меткость 95.","Night Ops mercenary. A rebel who fought for Miguel; captured and thrown into the Alma prison by Deidranna. Joins the player after being freed. Hates Arabs and heat. Fond of Miguel, Carlos, and Gamos. 97 Health, 95 Marksmanship.",design=docs/design/mercs-ja12/eskimo.md; unit=Jazz_Eskimo; field=Bio; status=ready; executable=true
890000000003002,Флоренс «Фло» Габриель,Флоренс «Фло» Габриель,"Florence ""Flo"" Gabrielle",design=docs/design/mercs-ja12/flo.md; unit=Jazz_Flo; field=Name; status=ready; executable=true
890000000003005,"Статы 40–50, Dexterity 60, Marksmanship 38 (худшая в отряде), Wisdom 82. Трусливая, но отличная торговка — знает, где выбить скидку и где продать хлам подороже. Дружит с Биффом и Рысью; до смерти боится некой Лавы (JA2-флейвор, не реализовано как игровая механика).","Статы 40–50, Dexterity 60, Marksmanship 38 (худшая в отряде), Wisdom 82. Трусливая, но отличная торговка — знает, где выбить скидку и где продать хлам подороже. Дружит с Биффом и Рысью; до смерти боится некой Лавы (JA2-флейвор, не реализовано как игровая механика).","Stats in the 40-50 range, 60 Dexterity, 38 Marksmanship (worst in the roster), 82 Wisdom. Cowardly, but an excellent haggler — knows where to squeeze a discount and where to sell junk for more. Friends with Biff and Lynx; scared stiff of someone named Lava (JA2 lore flavor, not implemented as a gameplay mechanic).",design=docs/design/mercs-ja12/flo.md; unit=Jazz_Flo; field=Bio; status=ready; executable=true
890000000003302,Гамос,Гамос,Gamos,design=docs/design/mercs-ja12/gamos.md; unit=Jazz_Gamos; field=Name; status=ready; executable=true
890000000003305,"Статы 60–70, Wisdom 35, Marksmanship 78. Простой и дружелюбный местный проводник, исходивший джунгли Арулько вдоль и поперёк. Нейтрален к остальному отряду, дёшев в найме.","Статы 60–70, Wisdom 35, Marksmanship 78. Простой и дружелюбный местный проводник, исходивший джунгли Арулько вдоль и поперёк. Нейтрален к остальному отряду, дёшев в найме.","Stats in the 60-70 range, 35 Wisdom, 78 Marksmanship. A simple, friendly local guide who's walked every inch of Arulco's jungle. Neutral toward the rest of the roster, cheap to hire.",design=docs/design/mercs-ja12/gamos.md; unit=Jazz_Gamos; field=Bio; status=ready; executable=true
890000000003502,Гастон Кавалье,Гастон Кавалье,Gaston Cavalier,design=docs/design/mercs-ja12/gaston.md; unit=Jazz_Gaston; field=Name; status=ready; executable=true
890000000003505,"Urban Brawl. Статы 80–90, Marksmanship 94, прочие навыки 20+. Не умеет плавать (флейвор). Работает с крыш и в темноте, флиртует с Тоской, Бансом и Лиской. Не выносит Злобного за конкуренцию по части дам и Биффа за трусость.","Urban Brawl. Статы 80–90, Marksmanship 94, прочие навыки 20+. Не умеет плавать (флейвор). Работает с крыш и в темноте, флиртует с Тоской, Бансом и Лиской. Не выносит Злобного за конкуренцию по части дам и Биффа за трусость.","Urban Brawl. Stats in the 80-90 range, 94 Marksmanship, other skills 20+. Can't swim (flavor only). Works rooftops and nighttime hours, flirts with Tosca, Buns, and Fox. Can't stand Vicious (rival for the ladies) or Biff's cowardice.",design=docs/design/mercs-ja12/gaston.md; unit=Jazz_Gaston; field=Bio; status=ready; executable=true
890000000004747,Грациелла «Грейс» Джирелли,Грациелла «Грейс» Джирелли,"Graziella ""Grace"" Girelli",design=docs/design/mercs-ja12/grace.md; unit=Jazz_Grace; field=Name; status=ready; executable=true
890000000004750,"Wildfire. Итальянка, записанная американкой. Боится тараканов, пессимистка. Средние статы броска (Сила 67, Меткость 69, Ловкость рук 77), Лидерство 62. Любит Аллика; недолюбливает Реда, Рикошета и Лаву.","Wildfire. Итальянка, записанная американкой. Боится тараканов, пессимистка. Средние статы броска (Сила 67, Меткость 69, Ловкость рук 77), Лидерство 62. Любит Аллика; недолюбливает Реда, Рикошета и Лаву.","Wildfire mercenary. Italian-born, filed as American. Afraid of cockroaches, a pessimist. Modest throwing stats (67 Strength, 69 Marksmanship, 77 Dexterity), 62 Leadership. Fond of Allik; not fond of Red, Ricochet, or Lava.",design=docs/design/mercs-ja12/grace.md; unit=Jazz_Grace; field=Bio; status=ready; executable=true
890000000002402,Майор Сергей «Гром» Громов,Майор Сергей «Гром» Громов,"Major Sergei ""Grom"" Gromov",design=docs/design/mercs-ja12/grom.md; unit=Jazz_Grom; field=Name; status=ready; executable=true
890000000002405,"Сослуживец Ивана по Afghan war. Shady Job переводит его в Night Ops. Найм: захват аэропорта и подавление местной ПВО — после этого он сам ждёт вербовщиков на лётном поле. Приходит с собственным гранатомётом. Дружит с Иваном, Игорем и Игги; недолюбливает Скоупа за манеру критиковать чужую наводку.","Сослуживец Ивана по Afghan war. Shady Job переводит его в Night Ops. Найм: захват аэропорта и подавление местной ПВО — после этого он сам ждёт вербовщиков на лётном поле. Приходит с собственным гранатомётом. Дружит с Иваном, Игорем и Игги; недолюбливает Скоупа за манеру критиковать чужую наводку.","A fellow Afghan-war veteran alongside Ivan. Shady Job routes him into Night Ops. Recruitment: capture the airport and knock out the nearby AA, and he'll be waiting on the tarmac for the recruiters himself. Brings his own rocket launcher. Friends with Ivan, Igor, and Iggy; not fond of Scope's habit of critiquing other people's aim.",design=docs/design/mercs-ja12/grom.md; unit=Jazz_Grom; field=Bio; status=ready; executable=true
890000000004002,Хеннинг фон Браниц,Хеннинг фон Браниц,Henning von Branitz,design=docs/design/mercs-ja12/henning.md; unit=Jazz_Henning; field=Name; status=ready; executable=true
890000000004005,"Wildfire — эрзац-замена Гасу. Статы 70–80, Wisdom 96, Leadership 76, Marksmanship 92. Клаустрофоб, не переносит замкнутые помещения. Аристократичный тактик, предпочитает командовать издалека, но не боится взять оружие сам, если требуется. Дружит со Штайгером и Лорой; недолюбливает Тора и Рикошета.","Wildfire — эрзац-замена Гасу. Статы 70–80, Wisdom 96, Leadership 76, Marksmanship 92. Клаустрофоб, не переносит замкнутые помещения. Аристократичный тактик, предпочитает командовать издалека, но не боится взять оружие сам, если требуется. Дружит со Штайгером и Лорой; недолюбливает Тора и Рикошета.","Wildfire — an ersatz stand-in for Gus. Stats 70-80, 96 Wisdom, 76 Leadership, 92 Marksmanship. A claustrophobe who can't stand enclosed spaces. An aristocratic tactician who prefers commanding from a distance but won't hesitate to pick up a weapon himself when needed. Friends with Steiger and Laura; doesn't get along with Thor or Ricochet.",design=docs/design/mercs-ja12/henning.md; unit=Jazz_Henning; field=Bio; status=ready; executable=true
890000000004202,Клиффорд «Скала» Хайбол,Клиффорд «Скала» Хайбол,"Clifford ""Highball"" Hyball",design=docs/design/mercs-ja12/highball.md; unit=Jazz_Highball; field=Name; status=ready; executable=true
890000000004205,"Худшие боевые статы в каталоге AIM (~50–60), но Wisdom 87, Marksmanship 84, Medical 84 всё ещё держат марку. Держится нейтрально к остальному отряду — слишком занят собственной фляжкой, чтобы с кем-то ссориться.","Худшие боевые статы в каталоге AIM (~50–60), но Wisdom 87, Marksmanship 84, Medical 84 всё ещё держат марку. Держится нейтрально к остальному отряду — слишком занят собственной фляжкой, чтобы с кем-то ссориться.","Some of the worst combat stats in the AIM roster (~50-60 range), but 87 Wisdom, 84 Marksmanship, and 84 Medical still get the job done. Stays neutral toward the rest of the roster — too busy with his flask to pick fights.",design=docs/design/mercs-ja12/highball.md; unit=Jazz_Highball; field=Bio; status=ready; executable=true
890000000004683,Ричард «Убийца» Рутвен,Ричард «Убийца» Рутвен,"Richard ""Hitman"" Ruthven",design=docs/design/mercs-ja12/hitman.md; unit=Jazz_Hitman; field=Name; status=ready; executable=true
890000000004686,"Статы 75–80, Wisdom 59, Marksmanship 93. Разыскиваемый террорист-наёмник — берёт контракт, чтобы отсидеться, а затем скрывается. Не умеет плавать. Уважает Мэджика; терпеть не может Фло; недолюбливает американцев.","Статы 75–80, Wisdom 59, Marksmanship 93. Разыскиваемый террорист-наёмник — берёт контракт, чтобы отсидеться, а затем скрывается. Не умеет плавать. Уважает Мэджика; терпеть не может Фло; недолюбливает американцев.","Stats in the 75-80 range, 59 Wisdom, 93 Marksmanship. A wanted mercenary terrorist who takes the contract to lie low before disappearing again. Can't swim. Respects Magic; can't stand Flo; not fond of Americans.",design=docs/design/mercs-ja12/hitman.md; unit=Jazz_Hitman; field=Bio; status=ready; executable=true
890000000004502,Тим «Хоббит» Хиллман,Тим «Хоббит» Хиллман,"Tim ""Hobbit"" Hillman",design=docs/design/mercs-ja12/hobbit.md; unit=Jazz_Hobbit; field=Name; status=ready; executable=true
890000000004505,"Статы 60–70, Agility 44, Wisdom 94, Marksmanship 44, Mechanical 0 (никогда не растёт), Explosives 56. Пессимист, боится жары. Держится нейтрально к остальному отряду.","Статы 60–70, Agility 44, Wisdom 94, Marksmanship 44, Mechanical 0 (никогда не растёт), Explosives 56. Пессимист, боится жары. Держится нейтрально к остальному отряду.","Stats in the 60-70 range, 44 Agility, 94 Wisdom, 44 Marksmanship, 0 Mechanical (never improves), 56 Explosives. A pessimist who's afraid of the heat. Stays neutral toward the rest of the roster.",design=docs/design/mercs-ja12/hobbit.md; unit=Jazz_Hobbit; field=Bio; status=ready; executable=true
890000000003602,Лейтенант Хорг «Сигара»,Лейтенант Хорг «Сигара»,"Lieutenant Horg ""Cigar""",design=docs/design/mercs-ja12/horg.md; unit=Jazz_Horg; field=Name; status=ready; executable=true
890000000003605,"Urban Brawl. Health 98, Strength 94, Agility 78, Marksmanship 89, Mechanical 74, Wisdom 77. Агрессивный лейтенант, никогда не расстаётся с сигарой. Дружит с Быком, Гасом и Биффом; терпеть не может Колби и относится с презрением к слухам про Лаву.","Urban Brawl. Health 98, Strength 94, Agility 78, Marksmanship 89, Mechanical 74, Wisdom 77. Агрессивный лейтенант, никогда не расстаётся с сигарой. Дружит с Быком, Гасом и Биффом; терпеть не может Колби и относится с презрением к слухам про Лаву.","Urban Brawl. Health 98, Strength 94, Agility 78, 89 Marksmanship, 74 Mechanical, 77 Wisdom. An aggressive lieutenant who never puts down his cigar. Friends with Bull, Gus, and Biff; can't stand Colby, and dismisses the Lava rumors as talk.",design=docs/design/mercs-ja12/horg.md; unit=Jazz_Horg; field=Bio; status=ready; executable=true
890000000001902,Айра Смит,Айра Смит,Ira Smith,design=docs/design/mercs-ja12/ira.md; unit=Jazz_Ira; field=Name; status=ready; executable=true
890000000001905,"Слабые боевые статы и меткость 55, но для ополченцев Арулько — живой бог: любой встреченный ею новобранец учится быстрее. Leadership низкий на старте, компенсируется именным перком и статусом Locals. Дружит с Мигелем, Карлосом и Димитрием (местное сопротивление); не любит Злобного; не умеет плавать (флейвор, без игровой механики).","Слабые боевые статы и меткость 55, но для ополченцев Арулько — живой бог: любой встреченный ею новобранец учится быстрее. Leadership низкий на старте, компенсируется именным перком и статусом Locals. Дружит с Мигелем, Карлосом и Димитрием (местное сопротивление); не любит Злобного; не умеет плавать (флейвор, без игровой механики).","Weak combat stats and 55 Marksmanship, but to the Arulco militia she's a living legend — every recruit she meets learns faster. Leadership starts low, offset by her named perk and Locals status. Friends with Miguel, Carlos, and Dimitri (fellow resistance); can't stand Vicious; never learned to swim (flavor only, no gameplay penalty).",design=docs/design/mercs-ja12/ira.md; unit=Jazz_Ira; field=Bio; status=ready; executable=true
890000000004715,Джон Кульба,Джон Кульба,John Kulba,design=docs/design/mercs-ja12/kulba.md; unit=Jazz_Kulba; field=Name; status=ready; executable=true
890000000004718,"Ветеран Urban Brawl. Статы 55–60, Marksmanship 95, Mechanical 88. Жена умерла от рака вскоре после спасения из Арулко. Ультра-патриот, любит Гаса, недолюбливает Ивана, Игоря и Рикошета.","Ветеран Urban Brawl. Статы 55–60, Marksmanship 95, Mechanical 88. Жена умерла от рака вскоре после спасения из Арулко. Ультра-патриот, любит Гаса, недолюбливает Ивана, Игоря и Рикошета.","An Urban Brawl veteran. Stats in the 55-60 range, 95 Marksmanship, 88 Mechanical. His wife died of cancer shortly after the Arulco rescue. An ultra-patriot who's fond of Gus but can't stand Ivan, Igor, or Ricochet.",design=docs/design/mercs-ja12/kulba.md; unit=Jazz_Kulba; field=Bio; status=ready; executable=true
890000000004795,Доктор Лора Колин,Доктор Лора Колин,Doctor Laura Colin,design=docs/design/mercs-ja12/laura.md; unit=Jazz_Laura; field=Name; status=ready; executable=true
890000000004798,"Wildfire. Румынская цыганка. Статы 70–80, Ловкость 67, Меткость 82, Медицина 57 (при этом врач!), Взрывное дело 52 (лучшее среди Wildfire). Плохо переносит жару. Любит Штайгера и Монка; недолюбливает Тоску и Фокса.","Wildfire. Румынская цыганка. Статы 70–80, Ловкость 67, Меткость 82, Медицина 57 (при этом врач!), Взрывное дело 52 (лучшее среди Wildfire). Плохо переносит жару. Любит Штайгера и Монка; недолюбливает Тоску и Фокса.","Wildfire mercenary. A Romanian Roma woman. Stats in the 70-80 range, 67 Agility, 82 Marksmanship, 57 Medical (a doctor, at that), 52 Explosives (the highest among Wildfire recruits). Handles heat poorly. Fond of Steiger and Monk; not fond of Tosca or Fox.",design=docs/design/mercs-ja12/laura.md; unit=Jazz_Laura; field=Bio; status=ready; executable=true
890000000004779,Люк «Лаки» Фабр,Люк «Лаки» Фабр,"Luc ""Lucky"" Fabre",design=docs/design/mercs-ja12/lucky.md; unit=Jazz_Lucky; field=Name; status=ready; executable=true
890000000004782,"Wildfire. Бельгиец-франкофон, ошибочно записанный французом. Статы 75–80, Лидерство 58, Меткость 88. Любит Барри; недолюбливает Вишеса и Банса.","Wildfire. Бельгиец-франкофон, ошибочно записанный французом. Статы 75–80, Лидерство 58, Меткость 88. Любит Барри; недолюбливает Вишеса и Банса.","Wildfire mercenary. A French-speaking Belgian mistakenly filed as French. Stats in the 75-80 range, 58 Leadership, 88 Marksmanship. Fond of Barry; not fond of Vicious or Buns.",design=docs/design/mercs-ja12/lucky.md; unit=Jazz_Lucky; field=Bio; status=ready; executable=true
890000000002102,Кевин «Бешеный» Камерон,Кевин «Бешеный» Камерон,"Kevin ""Madman"" Cameron",design=docs/design/mercs-ja12/madman.md; unit=Jazz_Madman; field=Name; status=ready; executable=true
890000000002105,"Алмаз среди местных: физикалы за 90, механика 68, псих без страха. Клеится к Лиске при каждом удобном случае. После кампании в Арулько готов уйти в MERC — дёшево, лишь бы была движуха и техника под рукой.","Алмаз среди местных: физикалы за 90, механика 68, псих без страха. Клеится к Лиске при каждом удобном случае. После кампании в Арулько готов уйти в MERC — дёшево, лишь бы была движуха и техника под рукой.","A diamond among the locals: physicals in the 90s, 68 Mechanical, a fearless psycho. Flirts with Fox at every chance he gets. After the Arulco campaign he's ready to move to MERC — cheap hire, as long as there's action and something mechanical to wreck or fix.",design=docs/design/mercs-ja12/madman.md; unit=Jazz_Madman; field=Bio; status=ready; executable=true
890000000003702,Мануэль,Мануэль,Manuel,design=docs/design/mercs-ja12/manuel.md; unit=Jazz_Manuel; field=Name; status=ready; executable=true
