ID	Russian	English
421444477169	????? ? ????????	Jungle Coast
424647158478	??????? ?? ?????, ??? ????? ??????? ?????? ? ?????? ???? ????????, ??, ???????, ???? ????? ????? ? ??? ????. ?? ? ?????? ? ??? ???: ????? ????? ??????? ? ?????????? ??????, ??????? ????? ?????????, ? ??, ??? ??????? ?????? ? ?????, ??? ? ??????? ??????? ??????...	I never thought I'd ask the war dogs of capital for help, but it seems the enemy of my enemy is my friend. Besides, we have no choice. I've got wounded and exhausted fighters everywhere, almost no ammunition, and what little we managed to carry out can barely be called weapons anymore...
425893484624	?????? ??????? ????????	Mountain Outpost
429313128588	?????????? ?????	Nameless Backcountry
443790235326	??????, ?? ??????????! ???????, ????????. ??????: ????? ??? ?????? ????? ????.	Looks like we made it! Thank you, mercenaries. You'll always be welcome here.
461177545348	??? ?????? <em>???????? ?????</em> ? ?????? ? <em><SectorName('P6')></em>.	They are holding <em>innocent people</em> prisoner in <em><SectorName('P6')></em>.
464798113837	?????? ????	Hyena Den
466521224694	???, ?????. ??????? ???? ??????? ??????? ?? ?????.	Here. This'll help you take out sentries quietly at night.
467521947075	??? ????	Is that everything?
480404987558	??????? ????? ??????? ????? ????????. ???????? ??????? ??????????? ???????.	A large Legion force will arrive soon. Help the locals prepare their defenses.
480799336285	?? ????? ??? ???????. ???????, ????????. ????? ???????? ??? ??????? ?? ???????? ??????? ? ????? ?? ?????? ?????. ?????, ?? ? ???????? ?????? ? ????. ???????? ?????? ? ?????-?? ?????????????? ?????? ??? ????????? ???????, ?? ????? ????? ?????????. ??????, ?? ??????? ??????, ???? ?????? ??????? ?? ????????. ??? ??, ? ???????.	You've done a great deal for us. Thank you, mercenaries. Another man in your dangerous line of work washed up here?a fellow soldier of fortune. I think he'd gladly join you. At first he kept raving about some nonexistent country called Arulco, but he seems to be over that now. He may have lost his memory, but he certainly hasn't lost his fighting skills. That's him by the tents.
484479696515	???????? ?????? ???????????????	Smugglers' Reserve Camp
506817616492	???????? <color EmStyle>????? ??</color>: <color EmStyle>????????? ?????</color> ??????????? ?????????	Operation <color EmStyle>"N-Night"</color>: <color EmStyle>Crazy Hannah</color> has agreed to fight
513680946973	??????. ????????? ??????? ? ??????? ? ?????, ??????? ???????? ???????.	All right. Stay close to the locals?I don't think we have much time.
524504567636	???????? ????	Road Bridge
527655061222	?... ???????...	I... understand...
533640818206	????. ???? ??????????? ? ?????, ?? ??? ??????????.	That's a shame. If you change your mind, I'm sure we'll meet again.
549508021001	?????????? ?????	Port Cacao Fortifications
555133792190	????? ?????	The Wilds
584766347441	?????????	Burial Grounds
587362470651	?? ???????, ??? ?? ?????? ?? ???????? ????? ?? ??????. ?? ?????? ? ????. ?????-?????? ??????? ?????????? <em>????????, ????? ???, ??? ???? ?? ???</em>?	But tell me?who are you? You're certainly no farmers, and you don't look like soldiers either. Some kind of elite commandos? <em>Mercenaries, like the ones who came before you</em>?
603947439256	??????. ??? ????? ??????? ?????????? ?? ??????? ??????; ??? ?? ?????? ???? ???????? ???????????. ??????? ??? ??????: ????? ???????? ? ??????, ?????? ?? ????? ?????, ? ?????? ? ??? ???? ??????? ??????. ???????, ? ??? ???? ????? ? ??????? ? ?????? ?? ????????????. ????????? ??? ??????????, ? ? ?????, ??? ? ???? ??????????.	Weapons. We need the supplies from our old camp, and there should be medicine there as well. I have no one left to send: my fighters are wounded and exhausted, our weapons are falling apart, and we've already taken too many losses. I hope you have an explosives expert?we mined the approaches. Bring back the supplies, and I'll find something to share with you.
608872900457	?????? ? ?????	Lighthouse Road
624365836328	???? ??? ???? ????, ???? ?? ??? ??? ?????? ????????.	There's one more thing, if you're still willing to help.
626691460597	???????????? ?????	Marshy Shore
648674597635	??? ???????, ??? ??? ?? ??? ?????. ???????????? ??? ? ?????? ?????? ???????, ?? ???? ???????: ?????? ??????????? ? ???????? ??? ??????, ? ???????????? ?????? ????????? ?????????? ? ???????? ???? ?? ?????. ???? ???????? ?????? ??????, ?? ??? ?????? ? ???????, ? ?????? ?? ?????? ?????. ???????, ? ????????? ???? ???????. ?? ????????? ?????? ???? ?????. ???????? ??? ????? ?????. ??? ?? ????????????, ?? ???? ?????????? ??????? ???.	I'm glad you care about what's happening. There's no time for the whole story, so here's the short version: the Legion spread across the country, and the rebel cells were scattered and cut off from one another. We tried to retake the island, but they drove us from our positions, and now we're holed up here. I hope the others are faring better. You probably saw the bodies below. We barely have anything left to shoot, no medicine, and hardly any food.
649017813474	????????????, ?????.	Greetings, soldiers.
649552238374	?????? ????	Old Port
663273681789	????	Marshes
671411170358	???? ???????	Landing Zone
672264534327	???????? <color EmStyle>????? ??</color>: <color EmStyle>?????-???????????????</color> ??????????? ?????????	Operation <color EmStyle>"N-Night"</color>: <color EmStyle>Kayla the Ripper</color> has agreed to fight
672915928785	???????? ???????	Fishing Village
679436731928	???????? ???????????????	Smugglers' Outpost
684342013446	???????? <color EmStyle>????? ??</color>: ?????? ????? ?? <color EmStyle>?????</color> ?? ?????? ?? ??????	Operation <color EmStyle>"N-Night"</color>: Pierre's sappers from the <color EmStyle>fort</color> will not be coming
684773656307	<em><PrisonersReleased> ????????????? ???????????</em> ??????? ????????? ? ??????? ? <em><SectorName('P8')></em>.	<em><PrisonersReleased> freed prisoners</em> will help fight the guards in <em><SectorName('P8')></em>.
685863743391	????? ??????? ????	Southern Military Base
691002711206	????????? ?????	Rocky Shore
699467126707	????. ????? ????? ????? ??????? ? ?? ???????.	Too bad. Then go your own way and stay out of ours.
701345923840	?????? ? ?????	Lighthouse Road
701949042002	? ???? ? ???? ??????. ???? ???????????, ?????? ?? ???????.	I can help with that. If you need us, we'll back you up.
712802681829	????????????, ????????.	Greetings, mercenaries.
732130249694	?? ???????.	Until next time.
733530482848	???????????? ?????????	Impassable Terrain
753511128670	??????? ?????????: ????? ?????? ??? ????????? ????? ? ??????. ????? ??????????? ? <em>???????</em> ? ??????????? ? ????, ??? ??? ??????? ? ??? ? ???????????.	The landing went wrong: the boats came under heavy fire from shore. Secure a foothold in the <em>sector</em> and make contact with whoever has already engaged the enemy.
759023941645	?????? ????? ??????? ????????? ???????. ??? ????????? ????, ????? ??????? ???? ?????.	There are several camps around the villa. They're massing for a coordinated assault.
767934028449	??????????? ???? ? ??????	Abandoned Bunker Entrance
776552884653	??? ? ??? ??????, ??? ????? ??????, ??????? ? ???????????. ???? ?? ?????? ?????? ???????????? ???? ?? ??????, ? ???? ???????? ??????? ?????????. ?? ???????... ????? ?????? ?????? ?????. ?? ??? ?????? ???? ??? ? ??? ?????? ?? ?????. ??? ?????? ?????????? ??? ???????. ?? ????????? ??? ????? ?? ??????? ??????. ??????????, ??????? ???.	Like I said, we need weapons, ammunition, and medical supplies. If you're willing to drive the Legion dogs out of the camp, I'll even provide fire support. But first... we need to save one of our fighters. He should still be alive?they're holding him on the pier. Those dogs are going to execute him. He covered our retreat from the second camp. Please, save him.
799215071459	???... ???????. ????????. ????? ?????? ???????? ? ??????? ????? ? ???????????. ???? ?????? ?? ????????? ????...	She's... young. Beautiful. The Legion takes girls like that and sells them to Maman in Pantagruel. Unless they keep them for themselves...
801967378182	????? ????????	Jungle Shore
840900289394	???? ?? ? ?????????, ??? ??? ?? ???? ?? ???????.	If I told you, they wouldn't be secret anymore.
896730749332	??????? ????? ?????????????	"Central" Strongpoint
906274913373	?? ?????? ????????? ?? ??? ????????. ?????? ?????? ?????, ??????? ?? ???????? ? ???? ??????????? ??????? ??? ?????. ?????? ??????? ?????? ? ???????? ???????? ??????.	But reaching her won't be easy. The Legion has the villa under siege, with troops all around it, waiting for the right moment to strike. If you want to get inside, you'll have to break through the cordon.
909162954508	??????? ?? ?????	Lighthouse Infirmary
954201546673	?????? ?????????	Sanatorium Basement
958825928490	???????? ????	Deep Marshes
971175592490	????. ???????? ? ?????? ? ???? ??????????.	Too bad. See you at camp?if you make it there.
984774152982	????? ????????? ??? ? ??? ??????, ? <em>??????? L1</em>. ??????? ??? ???? ??? ?????????? ??????? ? ?? ????????? ???? ?? ???????.	Then come to our camp in <em>sector L1</em>. Find me there, or Commandante Kasongo?he's our leader on the island.
997744145858	??????? ??????????????	Treasure Hunters' Settlement
890000000000025	?? ???? ??????? ??. ??? ?? <em>??????? ?????</em> ???? ???? ???????? ?????, ????? ?????????? ???! ? ???? ?????? ?????????? ????? ????: ??????? ????? ? ????. ????????? ????, ? ? ?????? ???, ????? ??????? ??? ?????? ???.	It's all his fault. He <em>gassed</em> all those innocent people to frame you! It's impossible to do business in this country?there's nothing but blood and chaos. Let me go, and I'll do everything in my power to restore your good name.
890000000000026	??? ??? ???????? ???? ???? ?????????! ???? ????? ????? ? ??????!	Those mercenaries should never have brought you here! Prison is exactly where you belong!
890000000000037	?????, ?????? ? ???? ???????????, ?? ???? ??? ?? ????????, ??? ?? ?????????, ????? ?????.	Darling, your blush is fabulous, but even it can't hide how much you blush when you lie.
890000000000038	??... ??, ???? ??????? ???? ??????!	Oh... yes, that man is definitely dangerous!
890000000000050	??? ???? ?????????? ??? ??? ????? ??????? ???????. ? ?????? ??? ?????????: ??????, ????????... ??? ??? ??????! ?????? ?? ????? ????!	They're obviously using you to do their dirty work. I can help you get out?money, passports... anything you want! Just don't hit me!
890000000000057	??? ????? ??? ???????, ?? ???. ??????. ? ????? ???? ????? ?????.	I hear that a lot, but no. Sorry. I'm just a little gray mouse.
890000000000059	???????. ???? ???? ???????? ???? ??? ? ?, ??? ?????????? ?????????????, ???.	Incorrect. Only we knew that?and, unsurprisingly, so did you.
890000000000061	??????????, ???. ?? ???? ??????? ????????? ????????.	Of course not. We're merely exploring our options.
890000000000066	???????, ??? ????? ?????????????? ??????? ???????? ? ?????-?????. ? ??? ???????? ???????, ????? ????, ??? ? ??????? ????????? ????? ????? ?????? ??? ????????. ??????? ?????????? ??? ? ???????????? ??????. ????? ?????? ????, ???, ?????? ?????, ???????? ??????????? ? ??????? ????? ? ????.	He may be the most powerful warlord in Grand Chien. Little is known about him, except that the Legion has built something like a cult of personality around him. The bandits worship him and fear him in equal measure. To save your father, you'll probably have to face the Major himself.
890000000000086	??????, ??! ? ???? ??? ???????? ????? ??? ????????. ? ????????? ??? ????????, ? ?? ????? ?????? ? ????????? ??????? ?????????? ???????!	Listen, you! You have no right to threaten me. I terminated our contract, and then you ran off and made yourself a local bandit king!
890000000000094	???. ?????? ?? ?????. ?????? ?? ??????? ???? ???... ????	Right. Fidel does not understand. We kill Emma now, or... what?
890000000000113	? ????????? ??? ?????????? ???????, ?????? ? ????? ?? ???????. ?????? ???? ? ????? ????.	Try a little harder next time, huh? I barely broke a sweat. If you want to live, learn how.
890000000000139	????, ?? ? ???? ???? ?????. ???-?? ????? ?????	Hell, everybody's got a family. Why should I give a damn?
890000000000160	??????-??????. ???????, ?? ???????????. ????????, ? ????? ????? ?? ????? ?????? ????????? ?? <em>???????</em>, ??? ? ?????.	Coconuts and bananas. I understand, don't worry. He'll probably kill more <em>Legion</em> bastards in your hands than in ours.
890000000000171	?? ??????, ??????! ?? ????????? ??? ???????. ??? ???? ??????!	Don't worry, sister! We take those iron things apart. Everyting gonna be irie!
890000000000172	???? ?????, ??? ?? ??????????. ? ??? ??? ? ??? ?????? ?? ??????, ? ????? ????? ???? ?????.	Naturally, they failed. No one has heard from them since, while the Major is still very much alive.
890000000000177	?? ??? ??????, ?? ????? ?????? ????? ? ???? ???? ????? ??????? ????. ?? ?????? ???.	In my opinion, you should stay out of this godforsaken hole's affairs. But the decision is yours.
890000000000190	?? ????????? ????????? ?? ???????? ?????????. ?? ????????? ?????? ????????? <em>????????? ???????? (?????? M4)</em>.	We met a rebel known as Ghost. He proposed a joint attack on the <em>Lookout (sector M4)</em>.
890000000000192	?? ?????? ?? ????? ??-??, ????????. ? ?????? ?????? ?????? ????? ?????, ??? ????.	You led them here? Uh-oh. That's not good. I've always liked quiet mice better than rats.
890000000000203	????? ????????? ?????????????. ?????????? ????????? ??????. ? ????, ???????, ?? ???????? ?? ??????? ???????? ?????.	You don't have to look tough. Looking good is enough?and you could use a little work, of course.
890000000000204	?? ???? ????, ???????, ?? ?? ? ???? ??????.	Cut the crap, lady, or I'll beat it out of you.
890000000000208	?? ?? ? ???????, ??????. ? ??? ????? ?????? ?????, ???? ?? ??????? ??? ????? ? ???????? ??????????????? ????.	He's fine, really. And he'd be better off if you put down that gun and helped him rebuild Ernie.
890000000000217	?????, ?????, ?? ???? ??? ????????!.. ? ???????? ???, ??? ?? ????????.	All right, all right, there's no need to threaten me! I'll tell you anything you want.
890000000000224	??, ??? ??????????? ?????? A.I.M.: ?? ?????, ?? ????????????.	Yes?the diet version of A.I.M. All the blandness, none of the fun.
890000000000228	?????, ?????? ?? ??????? ????. ? ??? ???????, ??? ?????? ??????. ??? ??? ??????	All right, just don't torture me. I said I'm willing to help. What do you need?
890000000000264	?????? ? ??? ??????, ?? ?? ???? ???? ????? ????? ????????????. ?????, ? ??? ??????? ????????, ??	Money is good, but all this fighting made Omryn hungry. Got anything to eat?
890000000000267	??? ?????????... ???????? ??, ?? ??? ?????????.	As they say... you got what you paid for.
890000000000269	??? ????? ??-?? ????? ????????????? ?????? ? ????? ? ?? ?????. ??????? ? ???? ?? ??????.	Should we be worried about that? I can take a stab in the back. Just don't aim any lower.
890000000000270	?? ?? ????! ? ?? ????????? ??? ???, ??? ?? ???????!	Why?! I told you everything you asked for!
890000000000295	????? ???? ? ????. ???-?? ????	Then sit there and rot. See if I care.
890000000000316	??????, ??! ???? ??????? ????? ? ????? ???? ?????????, ??	Yes! Call family. Let them watch too, eh?
890000000000319	??! ?????? ???? ????? ????! ?????, ?????? ??????? ??? ????, ? ?? ????????, ???? ???? ?????	Ah! Fidel loves mines too! Maybe Fidel takes these mines, and you run while you still have legs?
890000000000325	? ????? ?? ?????????? ????????? ?? ?????? ??? ????????? ?? ?????? ??????? ? ??????. ??, ??????? ??????, ? ?? ?????, ??? ?? ?????????? ????? ???? ?????, ????? ?????????? ???. ??? <em>????????</em>, ??????? ? ? ??? ?????????. ?????, ????????? ????.	In exchange for financial backing, he promised me a monopoly on diamond mining in the valley. But I swear on my honor, I had no idea he planned to kill those people and frame you. Here is the <em>contract</em> I signed with him. Please, let me go.
890000000000341	???... ??... ?? ????????? ? ?????? ???????. ??? ???????????? ?????????? ?????? ????????? ???????? ?... ??????????. ??? ??? ????? ????????. ? ??? ???????? ????????	This... well... isn't relevant to your assignment. From time to time, we have to deal with minor... logistical issues. Again, my apologies. Do you have any other questions?
890000000000360	??? ? ???????. ?? ?????????? ???? ??? ?????? ?????. ????????, ?? ?????? ??? ??????.	Everything is fine. But try to be a better son to him. For example, don't kill his friends.
890000000000376	??????????, ? ???????? ???, ??? ????. ???????, ????? ?????????? ?????? ??? ???? ?????????.	Of course. I'll tell you everything I know. I'm sure information like that will persuade you to let me go.
890000000000382	?? ???? ?? ???????? ??????! ??????? ? ???????? ? ????????????? ?? ???. ?????? ?? ????????? ??????? ???????? ?????? ??? ?????????, ???????	We didn't trust Graaf either! That's why we hired on?to keep an eye on him. Can't let a bad boy run wild without supervision, can we?
890000000000393	??. ??? ???? ?? ????, ??? ?? ??????? ??????????. ?? ???????? ???? ???????? ??????? ? ????????? ?? ???????????, ??? ??? ? ??????????? ???????????? ????????? ??? ???.	Yes. This was before he kidnapped the president. He seized our diamond mines and refused to negotiate, so I took the only course of action available to me.
890000000000405	????? ?? ???? ? ?????? ?????????!..	I don't want money?just let me go!
890000000000407	????? ????? ???????, man. ?????? ????? ?????? ????? ????????.	Life's full of mysteries, man. Only one way to find out.
890000000000427	?????? ???? ????????? ?? ????, ??? ? ????????? ?? ?????? ?? ???? ????.	A wolf would give up meat before I'd take a vacation on your dime.
890000000000440	? ????? ???? ???? ????????? ???????? ? ??????? ?? ????? <em>????</em>.	Your wife has a few questions for a girl named <em>Deedee</em>.
890000000000441	???? ????? ?????, ?? ?????? ???? ???????? ?????????.	My name is Dyalo, but most people call me Ghost.
890000000000442	??... ??? ??? ?????. ???, ??? ?? ?? ????? ???????.	Ha... now that was a massacre. Glad we're on the same side.
890000000000456	?? ??? ??????? ???? ??????? ? ??????? ? ?????.	We bested you once. We will do so again.
890000000000458	? ???? ????, ??? ??? ??????? ??????? ?????, ? ????? ??????????? ?? ???????. ?????? ????? ??????? ? ???????? ? ???? ?????. ???????, ??????? ?????? ?????? ?????????? ??? ??????. ???? ? ??? ????, ??? ?? ??? ???????... ?? ??????? ?????????? ? ???????????.	All I know is that they stayed here briefly before heading to the mainland. I lost contact with them soon after they landed. I'm sure the locals can tell you more. Biff and his people, how should I put it... weren't exactly discreet.
890000000000460	???? ????????? ? <em>??????? M3</em>.	Kiki is in <em>sector M3</em>.
890000000000461	???????? ?????? ????????? ? <em>??????? M1</em>.	The German cache is in <em>sector M1</em>.
890000000000489	??! ????? ?????? ?????? ?? ??????! ???? ???????.	Ha! It has been too long since Fidel killed someone! His hands are itching.
890000000000490	? ??? ???? ?? ?????-?? ??????, ??? ?? ?????? ??????? ??? ?????????.	Is that it? It doesn't exactly inspire confidence that you'll be able to pay us at all.
890000000000511	...? ????? ?????.	...And there you go lying again.
890000000000532	?????? ????????. ?????? ????? ??? ?????, ??? ?-??	Fidel likes this. Fidel can kill him, yes? Hmm?
890000000000533	??-??-??! ?????? ????? ????? ????.	Ha ha ha! Fidel needs body parts.
890000000000544	??! ?????? ????? ?????! ??????? ???????? ? ??? ???????!	Ah! Fidel loves mines! So much dynamite. Such joy!
890000000000547	?-?, ??????????. ???? ????? ???????? ??? ? ??????.	Ooh, that's a long way. Better pack plenty of food.
890000000000555	???????-?? ?? ???? ???? ???-?? ?????????.	Finally, something true out of you.
890000000000559	?????. ? ??? ???????	All right. What's the catch?
890000000000590	????... ???? ????...	Kiki... Kiki's alive...
890000000000591	?... ? ? ??? ? ?????. ????????. ??? ???, ??? ? ???? ????.	I... I owe you. Take it. It's everything I have.
890000000000601	?????, ?? ????? ???????????? ? ??????. ?????? ???????????: ???????? ???????????... ?? ???? ?? ????? ? ???????????? ???????? ?????? ? ???? ?????.	I believe we can negotiate a discount. Just imagine: a shootout breaks out... How terribly unpleasant and unhygienic it would be to bleed out in this filth.
890000000000602	? ?? ???? ?????? ?????? ? ???? ??????????. ?? ???????? ? ???? ?????? ? ??? ????? ???, ??? ? ????????? ??? ???????????? ?????????? ?????????. ???????, ??? ???? ??? ??????? ???????????????? ????.	I have nothing to do with that psychopath. He's been extorting money from me ever since I appointed him regional director of Adonis. Then again, occupational hazards like this are nothing new to me.
890000000000624	?? ?????? ????????? ?????? ?? ???. ????? ??? ?????????? ??????? ?????????, ? ??? ???????? ????????? ?????? ??????????. ? ???? ??? ??????? ???? ????????, ??????? ?????????? ???? ? ?????? ?????????.	You can lie low for a while. Once this unfortunate affair blows over, you'll have plenty of other contracts. I know at least one company that could use people with your talents.
890000000000625	?? ?? ????????? ?? ?????, ??????. ??? ???? ???????? ?? ????. ? ???? ???? ?? ???? ???????, ??????, ?? ??? ? ???? ?? ???????. ??? ?????????.	You're not hunting Wolf, kid. Wolf is hunting you. And if Wolf is looking at you, he's already got you in his sights. You get the idea.
890000000000631	??, ?????? ?????! ??????? ??? ? ??????? ??????? ??????.	Oh, I love mines! So many little holes to hide in.
890000000000635	? ??? ? ???? ????? ????. ????? ????!	And I have muscles too. Many muscles!
890000000000637	???. ?????? ????? ???????? ? ?????. ??? ?????? ??????. ?-??	No. Fidel likes to aim for the stomach. More screams that way. Hmm?
890000000000644	??? ?????????? ?????????? ??????????? ???????????? ? ???????. ?? ???????????? ???????? ???? <em>???????</em>. ??? ????????? ??? ???? ???????? ??????? ??????, ??? ?????? ?????? ?????????. ??? ????????? ????? ?????????? ??? ??????? ????????, ?? ??? ? ?????????? ?? ?????????. ???????????????? ??????? ????? ??? ????? ? ???? ?????????.	They are the largest illegal armed force in the region. Their leader styles himself <em>the Major</em>. They seized all our diamond mines before our security teams could intervene. They excel at brutalizing civilians, but lack intelligence and training. Professional soldiers like you should make short work of them.
890000000000653	??, ? ?? ??????? ????????? ?? ????????. ?? ? ???????? ?????? ? ??????. ????? ??????.	Well, I'd like to see the benefits package first. But when it comes to compensation, I'm flexible. Very flexible.
890000000000709	??????... ????? ??????. ? ????? ???. ??? ???, ??? ? ???? ????. ?????? ??????? ??.	Nothing... except a diamond. You can have it. It's all I have. Just save her.
890000000000710	???????, ????????. ? ????? ?? ?????? ???? ? ?????????. ???, ????????.	Thank you, mercenaries. I found a crate of grenades on the shore. Here, take it.
890000000000711	? ????????... ? ??????.	By the waterfall... in a cage.
890000000000721	????? ????????????. ? ??? ?? ?????? ???????????	Hello again. What did you want to discuss?
890000000000725	? ????? ???? ?????? ?????????????. ? ???????? ???? ????? ????, ? ?? ????????????? ??? ????. ???????, ??? ????? ???????? ??????? ??? ??????????, ? ?????? ??????. ??????? ?????? ???????. ???????, ??? ??? ??????	I'm merely a victim of circumstances. I came here to do business, not dodge bullets. I understand that this turn of events has upset you, and I'm willing to help. Let's start over. Tell me what you need.
890000000000727	???, ???????! ? ???? ?? ???????!	Excuse me?! I'm not your dog!
890000000000740	???, ?????? ? ?????! ? ?? ?? ???? ????? ?????????????!	All right, run away in terror! You might shoot each other!
890000000000750	?? ????? ?????????? ?????? ?? ????????. ?! ?????, ????? ??? ??????????? ?-??	But why let him go? Fidel does not understand. Ah! Maybe we shoot him later? Hmm?
890000000000753	????????? ?????? K3	Clear Sector K3
890000000000754	????????? ?????? K5	Clear Sector K5
890000000000755	????????? ?????? L3	Clear Sector L3
890000000000756	????????? ?????? L4	Clear Sector L4
890000000000757	????????? ?????? L5	Clear Sector L5
890000000000771	??? ??? ?????? ?????? ???????: ????????? ???????? ?? ??????. ????? ?????????? ????????, ?? ???? ????????? ???? ? ?????????, ???? ????????? ? ?????????. ??-?!	This is what Fidel always says: there is no such thing as an innocent bystander. When shooting starts, you either pass by and hide, or stay and shoot. Ay-ya!
890000000000775	?????... ????????? ???????? ??? ???? ??? ?? ???????.	Baby... a worthy rival for me has yet to be born.
890000000000776	???.. ???! ?????? ????? ??, ????? ?????... ????? ???? ???????, ????????	Yes?.. No! Just tell them to wait... They are to wait for the signal, understood?
890000000000782	??? ????? ????????? ????? ?????????? ?? ??????, ????? ??????? ??? ?????!	Who is this "Mercy"? Why let him go? He said we could take his life!
890000000000784	?? ???... ?????? ????????	So... bad news?
890000000000794	????? ????, ???????????? ?????? ??????? ??? ?? ?????? ??? ?????????? ?????????? ?????, ? ?????????? ? ???? ????? ?????.	What's more, the scattered Legion forces will no longer be able to assault the villa as effectively, making them much easier to handle.
890000000000800	? ??? ?? ? ??????-?? ???????, ??? ?? ? ????????... ?-?... ????? ??????.	And yet, for some reason, I'm certain you and the Legion are... uh... "one big family."
890000000000811	????????? ?????? ?????? ???????-??????????!	Give my regards to your handsome daddy!
890000000000812	?????? ????????: ????? ?? ???????? ?????.	I must point out that you're a rather poor liar.
890000000000822	??????, ????? ???? ??? ??? ?????????.	Looks like we should pay that place another visit.
890000000000824	???????? ???????? ? ??? ??, ??? ???? ?? ????? ? ???? ????????.	Innocent bystanders are just people who haven't taken a shot at me yet.
890000000000839	???? ?? ??? ?????? ?? ??????? ?? ?????? ????? ????????, ? ?? ??? ?????? ???? ??????.	If I got a coin for every promise like that, I'd own an island by now.
890000000000841	????? ????????? ????? ??????? ?????? ??????, ??????? ???????? ?????? ????.	Soon, the only ones in danger will be the bastards who kidnapped your father.
890000000000854	??-??! ??????, ?? ????????, ??? ?????????? ??????! ???? ??????!	Ha! Herman, you dance like a pregnant pig! Knees up!
890000000000863	?????? ?????? ??????? ????.	Fidel has come to take what is his.
890000000000883	??????? ???????? ?????????, ??????????? ?? ??? ??? ??, man?	Heavy equipment? Trucks, bulldozers? What she need those for, man?
890000000000905	??????? ????? ??? ???. ? ???? ?? ???, ??????... ???????????, ???????.	Tale as old as time. I'm not even angry, just... disappointed, I suppose.
