effect_id,display_name,description,parameters,source,snapshot_commit
ReduceAuto25Percent,ReduceAuto25Percent,Уменьшает количество выстрелов в автоогне на <color EmStyle>50%</color>,AutoSize=75,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceAuto50Percent,ReduceAuto50Percent,Уменьшает количество выстрелов в автоогне на <color EmStyle>50%</color>,AutoSize=50,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceAuto75Percent,ReduceAuto75Percent,Уменьшает количество выстрелов в автоогне на <color EmStyle>75%</color>,AutoSize=25,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceBurst25Percent,ReduceBurst25Percent,Уменьшает количество выстрелов в очереди на <color EmStyle>25%</color>,BurstSize=75,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceBurst50Percent,ReduceBurst50Percent,Уменьшает количество выстрелов в очереди на <color EmStyle>50%</color>,BurstSize=50,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ReduceRange50Percent,ReduceRange50Percent,Уменьшает дальность наполовину,RangeMultiplier=50,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeAccuracyIncreace,ScopeAccuracyIncreace,Прицел: Увеличивает бонус точности на <ScopeAccuracyIncrease>,ScopeAccuracyIncrease=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeAccuracyReduce,ScopeAccuracyReduce,Прицел: Уменьшает бонус точности на <ScopeAccuracyReduce>,ScopeAccuracyReduce=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeCTHBonus,ScopeCTHBonus,Прицел: бонус к точности в <ScopeCTH>%   (при использовании прицела),ScopeCTH=1;ScopeAimLevel=3,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeHandlingReduce,ScopeHandlingReduce,Прицел: Уменьшает эргономику на <ScopeHandlingReduce>,ScopeHandlingReduce=10,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeMagnification,ScopeMagnification,Оптика <ScopeMagnification>.<ScopeSubMagnification>× сдвигает эффективную зону дальше после <ScopeAimLevel>-го уровня прицеливания. Сильная оптика менее удобна вблизи.,ScopeMagnification=1;ScopeSubMagnification=;ScopeAimLevel=3,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeOverwatchAngleDecrease,ScopeOverwatchAngleDecrease,Прицел: Уменьшает сектор контроля на 30%,ScopeOverwatchAngle=70,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeOverwatchAngleDecreaseBig,ScopeOverwatchAngleDecreaseBig,Прицел: Уменьшает сектор контроля на 50%,,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeOverwatchAngleIncreace,ScopeOverwatchAngleIncreace,Прицел: Увеличивает сектор контроля на 30%,ScopeOverwatchAngle=130,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ScopeOverwatchAngleIncreaceBig,ScopeOverwatchAngleIncreaceBig,Прицел: Увеличивает сектор контроля на 50%,ScopeOverwatchAngle=150,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
ShotsBeforeRecoilProne,ShotsBeforeRecoilProne,Добавляет 1 выстрел без отдачи в положении лежа,ShotsBeforeRecoilProne=1,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
SilencerGroupingReduce10,SilencerGroupingReduce10,Глушитель: Уменьшает кучность на 10%,SilencerGroupingReduce=90,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
SilencerGroupingReduce30,SilencerGroupingReduce30,Глушитель: Уменьшает кучность на 30%,SilencerGroupingReduce=70,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
SilencerGroupingReduce50,SilencerGroupingReduce50,Глушитель: Уменьшает кучность на 50%,SilencerGroupingReduce=50,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
SilencerHandlingReduce,SilencerHandlingReduce,Глушитель: Уменьшает эргономику на <SilencerHandlingReduce>,SilencerHandlingReduce=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
SilencerJamChance,SilencerJamChance,Глушитель: Увеличивает шанс клина,SilencerJamChance=100,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
SilentShots,SilentShots,Уменьшает звук выстрела до <NoiseMultiplier>% от стандартого,NoiseMultiplier=75,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
SmallMagnification,SmallMagnification,Прицел: доп. уровень зума: <SmallMagnification>.<SmallSubMagnification> кратности  (от <SmallAimLevel> уровня прицеливания и выше),SmallMagnification=1;SmallSubMagnification=;SmallAimLevel=,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
StockHandlingIncrease,StockHandlingIncrease,Приклад: Увеличивает эргономику на <StockHandlingIncrease>,BarrelHandlingIncrease=5,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
TwoHanded,TwoHanded,Нельзя стрелять с одной руки,,jazz,6d040e136adcc0c5f1e2dd2832690d9c2a0c6eca
