component_id,display_name,slot,cost,modification_difficulty,effects,parameters,additional_costs,group,used_by_count,source,snapshot_commit
BarrelLong_AUG,Extended Barrel with Bipod,Barrel,70,0,AccuracyBonusProne;BarrelHandlingReduce;BarrelBulletDropIncrease;BarrelGroupingIncrease;BarrelRecoilRecude;BarrelRangeIncrease;BarrelAccuracyIncrease,RangeIncrease=6;AimAccuracyIncrease=2,FineSteelPipe=1,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelLongImproved,Extended Gain-Twist Barrel,Barrel,100,0,IncreaseReliability;BarrelRangeIncrease;BarrelBulletDropIncrease;BarrelAccuracyIncrease;BarrelHandlingReduce;BarrelGroupingIncrease;BarrelRecoilRecude,ReliabilityIncrease=10;AimAccuracyIncrease=2;RangeIncrease=6,FineSteelPipe=3,Barrel,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelLongImproved_AUG,Extended Gain-Twist Barrel with Bipod,Barrel,100,0,AccuracyBonusProne;IncreaseReliability;BarrelBulletDropIncrease;BarrelGroupingIncrease;BarrelHandlingReduce;BarrelRecoilRecude;BarrelAccuracyIncrease;BarrelRangeIncrease,AimAccuracyIncrease=2;RangeIncrease=6;ReliabilityIncrease=10,FineSteelPipe=1,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelLongShotgun,Extended Barrel,Barrel,75,0,BarrelRangeIncrease;BarrelBulletDropIncrease;BarrelAccuracyIncrease;BarrelHandlingReduce;BarrelGroupingIncrease,RangeIncrease=4,FineSteelPipe=3,Barrel,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelNormal,Default Barrel,Barrel,50,10,,,FineSteelPipe=2,Barrel,41,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelNormal_noSil,Стандартный ствол,Barrel,50,10,,,FineSteelPipe=2,Barrel,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelNormal_Sil,Ствол под глушитель,Barrel,50,10,,,FineSteelPipe=2,Barrel,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelNormalImproved,Gain-Twist Barrel,Barrel,15,0,IncreaseReliability,ReliabilityIncrease=10,FineSteelPipe=1,Barrel,10,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelsDefs,Заводской ствол,Barrel,0,0,,,,Default,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShort,Short Barrel,Barrel,15,0,ReduceReliability;BarrelRangeReduce;BarrelBulletDropReduce;BarrelHandlingIncrease;BarrelGroupingReduce;BarrelRecoilIncrease,ReliabilityDecrease=10;ShootAPDecrease=1;RangeDecrease=4;EffectiveRange=4,FineSteelPipe=1,Barrel,12,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShort_AUG,Short Barrel,Barrel,15,0,ReduceReliability;BarrelRangeReduce;BarrelBulletDropReduce;BarrelGroupingReduce;BarrelRecoilIncrease,ShootAPDecrease=1;ReliabilityDecrease=10,FineSteelPipe=1,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShort_Pistol,Короткий ствол,Barrel,15,0,BarrelRangeReduce;BarrelBulletDropReduce;BarrelHandlingIncrease;BarrelGroupingReduce;ReduceShootAP,ShootAPDecrease=1;RangeDecrease=4;EffectiveRange=4,FineSteelPipe=1,Barrel,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShort_Winchester,Short Barrel,Barrel,15,0,ReduceShootAP;ReduceRange;ReduceReliability;ReduceMagazineSize,ShootAPDecrease=1;RangeDecrease=4;ReliabilityDecrease=10;MagazineSizeDecrease=4,FineSteelPipe=1,Winchester Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShortImproved,Short Gain-Twist Barrel,Barrel,35,0,BarrelRangeReduce;BarrelBulletDropReduce;BarrelHandlingIncrease;BarrelGroupingReduce;BarrelRecoilIncrease,ShootAPDecrease=1;RangeDecrease=4;EffectiveRange=1,FineSteelPipe=1,Barrel,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShortImproved_AUG,Short Gain-Twist Barrel,Barrel,35,0,BarrelHandlingIncrease;BarrelBulletDropReduce;BarrelGroupingReduce;BarrelRecoilIncrease;BarrelRangeReduce,RangeDecrease=4;ShootAPDecrease=1,FineSteelPipe=1,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShortRunNGun,Короткий ствол,Barrel,15,0,ReduceReliability;EnableRunNGun;BarrelRangeReduce;BarrelBulletDropReduce;BarrelHandlingIncrease;BarrelGroupingIncrease;BarrelRecoilIncrease,ReliabilityDecrease=10;ShootAPDecrease=1;RangeDecrease=4;EffectiveRange=4,FineSteelPipe=1,Barrel,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShortShotgun,Shortened Barrel,Barrel,15,0,BarrelRangeReduce;BarrelBulletDropReduce;BarrelGroupingReduce;BarrelHandlingIncrease,ShootAPDecrease=1;ReliabilityDecrease=10;RangeDecrease=2;BuckshotAngleIncrease=115,FineSteelPipe=1,Barrel,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BarrelShortShotgun_Benelli,Shortened Barrel,Barrel,15,0,ReduceReliability;ReduceMagazineSize;IncreaseBuckshotAngle;ReduceRange;ReduceShootAP,ReliabilityDecrease=10;MagazineSizeDecrease=2;BuckshotAngleIncrease=115;RangeDecrease=2;ShootAPDecrease=1,FineSteelPipe=1,M1014 Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BaseIronsight_Anaconda,Basic Iron Sight,Scope,10,0,,bonus_cth=5,,Anaconda Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
BigMag,Магазин увеличенной емкости,Magazine,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Bipod,Bipod,Bipod,60,20,AccuracyBonusProne;ShotsBeforeRecoilProne;BipodsHandlingDecrease,bonus_cth_bipod=10,,Underslung,32,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Bipod_Galil,Bipod,Under,60,20,AccuracyBonusProne;ShotsBeforeRecoilProne,,,Galil Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Bipod_MG42,Bipod,Bipod,60,20,AccuracyBonusProne;ShotsBeforeRecoilProne,,,MG42 Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Bipod_Under,Bipod,Under,60,20,AccuracyBonusProne;ShotsBeforeRecoilProne,,,Underslung,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Bubny,Бубенец,Magazine,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
CAR15Mount,Крепление для рукоятки переноски от CAR15,Mount,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
CollimatorMP7,Коллиматор для ближних дистанций,Scope,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Compensator,Compensator,Muzzle,0,0,RecoilDecrease;AccuracyBonusSameTarget,Recoil=3,FineSteelPipe=1;Parts=25,Muzzle,44,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Compensator_cosmetic,Compensator,Muzzle,25,0,,,,Muzzle,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
DefaultIronsight_AR15,Default Iron Sight,Scope,10,0,,,,AR15 Specific,7,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
DefaultMuzzle_HK21,Default Flash Hider,Muzzle,0,-25,,,,HK 21 Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
DefMuzzle,Заводской дульный тормоз,Muzzle,0,0,,,,Default,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
DuckbillChoke,Duckbill Choke,Muzzle,20,0,IncreaseBuckshotAngle,BuckshotAngleIncrease=120,,Muzzle,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FlashHider,Пламегаситель,Muzzle,10,0,RecoilDecrease;StealthKillBonusPerAim;SilencerHandlingReduce,Recoil=1;crit=10;stealth_kill_bonus=20,FineSteelPipe=2;Parts=50,Muzzle,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Flashlight,Flashlight,Side,25,-25,IgnoreInTheDark,,,Side,53,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Flashlight_aa12,Flashlight,Side,10,-25,IgnoreInTheDark,,,AA12 Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Flashlight_Anaconda,Flashlight,Scope,10,-25,IgnoreInTheDark,,,Anaconda Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Flashlight_Grip,Рукоятка с фонариком,Side,25,-25,IgnoreInTheDark;RecoilDecrease,Recoil=1,,Side,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Flashlight_Grip_Off,Рукоятка с фонариком,Side,25,-25,RecoilDecrease,Recoil=1,,Side,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Flashlight_PSG_M1,Flashlight,Side,10,-25,IgnoreInTheDark,,,PSG1-Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Flashlight_R870,Фонарик,Side,0,-25,IgnoreInTheDark,,,Side,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FlashlightDot,Tactical Device,Side,50,10,StealthKillBonusPerAim;IncreaseOverwatchAngle;MarkWhenFullyAimed,maxaims=1;OverwatchAngleIncrease=140;aim_bonus=1;stealth_kill_bonus=2,Microchip=3,Side,48,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FlashlightDot_aa12,Tactical Device,Side,20,10,IgnoreInTheDark;StealthKillBonusPerAim;IncreaseOverwatchAngle,maxaims=1;EffectiveRange=1;OverwatchAngleIncrease=140;aim_bonus=1;stealth_kill_bonus=2,Microchip=1,AA12 Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FlashlightDot_Anaconda,Tactical Device,Scope,20,10,IgnoreInTheDark;StealthKillBonusPerAim;IncreaseOverwatchAngle,maxaims=1;EffectiveRange=1;OverwatchAngleIncrease=140;aim_bonus=1;stealth_kill_bonus=2,Microchip=1,Anaconda Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FlashlightDot_PSG_M1,Tactical Device,Side,20,10,IgnoreInTheDark;StealthKillBonusPerAim,stealth_kill_bonus=2,Microchip=1,PSG1-Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FlashlightOff,Фонарик,Side,25,-25,,,,Side,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FNFAL_Handguard,Default Handguard,Handguard,0,-25,,,,FNFAL Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
FoldBipod,Сложенная сошка,Bipod,0,0,,,,Default,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FoldStocks,Сложенный приклад,Stock,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Freeswap,Пистолет,Freeswap,10,0,FreeWeaponSwap,,FineSteelPipe=1,Muzzle,41,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
FullChoke,Full Choke,Muzzle,20,0,DecreaseBuckshotAngle;IncreaseRange,RangeIncrease=4;BuckshotAngleDecrease=80,,Muzzle,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
G3Mount,Крепление с универсальной планкой для G3,Mount,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
G3MuzzleV2,Заводской пламегаситель G3 SG,Muzzle,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Galil_Brake_Default,Default Muzzle Brake,Muzzle,2,-25,IncreaseAimAccuracy,AimAccuracyIncrease=1,,Galil Specific,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Galil_Handguard_Default,Default Handguard,Under,2,-25,,,,Galil Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
GewehrDefaultSight,Default Iron Sight,Scope,2,-25,,,,Gewehr-specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
GP25,ГП-25,Under,50,20,GrenadeLauncher;GLHandlingDecrease,,FineSteelPipe=2,Underslung,3,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
GrenadeLauncher,Grenade Launcher,Under,50,20,GrenadeLauncher;GLHandlingDecrease,,FineSteelPipe=2,Underslung,7,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
GrenadeLauncher_AUG,Grenade Launcher,Grenadelauncher,20,20,GrenadeLauncher,,FineSteelPipe=1,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
GrenadeLauncher_Commando,Grenade Launcher,Under,20,20,GrenadeLauncher,,FineSteelPipe=1,M4 Commando Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
GrenadeLauncher_Galil,Grenade Launcher,Under,50,20,GrenadeLauncher;GLHandlingDecrease,,FineSteelPipe=2,Galil Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
GrenadeLauncher_M14,Grenade Launcher,Under,20,20,GrenadeLauncher,,FineSteelPipe=1,M14 Specific,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
GrenadeLauncher_M16A1,Grenade Launcher,Under,20,20,GrenadeLauncher,,FineSteelPipe=1,M16A2 Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Handgrip_Default,Стандартная рукоять,Handgrip,0,0,,,,Underslung,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Handgrip_Ergo,Эргономичная рукоять,Handgrip,0,0,GripHandlingIncrease,,,Underslung,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Handguard,Цевьё,Handguard,0,0,,,,Underslung,4,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Handguard_Commando,Default Handguard,Under,40,20,,,,M4 Commando Specific,1,vanilla_233360,09673e3a8dd397d662833fb530a3566f6596c4c0
HandguardM1A,Цевьё,Handguard,25,10,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HandguardM1ARail,Цевьё с рельсой,Handguard,150,20,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HandguardRail,Цевьё с рельсой,HandguardRail,0,0,,,,Default,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HandlingWrap,Обмотка на цевье,Side,10,0,BarrelHandlingIncrease,BarrelHandlingIncrease=1,,Side,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HK33Handguard,Цевье,Handguard,20,10,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HK33HandguardMod,Цевье с планками,Handguard,20,10,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HK33Lower,Lower,General,20,10,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HK33LowerMod,Улучшенный lower,General,20,10,,,,Underslung,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
HolsterBelt,Ремень,General,20,10,FreeWeaponSwap,,,Underslung,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ImprovedIronsight,Improved Iron Sight,Scope,10,0,MinorAccuracyBonus,,,Scope,6,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ImprovedIronsight_AR15,Improved Iron Sight,Scope,10,0,AccuracyBonusWhenAimed,bonus_cth=5,,AR15 Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ImprovisedSuppressor,Масляной фильтр,Muzzle,20,-25,StealthKillBonusPerAim;ReduceReliabilityPercent;SilencerGroupingReduce50;SilencerHandlingReduce;SilencerJamChance;ReduceAimAccuracy15Percent;SilentShots,NoiseMultiplier=33;ReliabilityDecreasePercent=50;SilencerHandlingReduce=10;crit=25;stealth_kill_bonus=100,,Muzzle,50,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
ImprovisedSuppressor_Anaconda,Improvised Suppressor,Muzzle,20,0,SilentShots,crit=25,,Anaconda Specific,0,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_CombatScope_1P29,Тюльпан,Scope,100,0,IncreaseShotAP;ScopeMagnification;ScopeHandlingReduce;ScopeOverwatchAngleDecrease,ShotAP=1;ScopeMagnification=4;ScopeSubMagnification=;ScopeAimLevel=2;ScopeHandlingReduce=10,OpticalLens=3;FineSteelPipe=3,Scope,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_CombatScope_2x,Штурмовой прицел (2x),Scope,50,0,IncreaseShotAP;ScopeMagnification;ScopeHandlingReduce;ScopeOverwatchAngleDecrease,ShotAP=1;ScopeMagnification=2;ScopeSubMagnification=;ScopeAimLevel=1;ScopeHandlingReduce=6,OpticalLens=1;FineSteelPipe=1,Scope,55,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_CombatScope_3x,Штурмовой прицел (3x),Scope,50,0,IncreaseShotAP;ScopeMagnification;ScopeHandlingReduce;ScopeOverwatchAngleDecrease,ShotAP=1;ScopeMagnification=3;ScopeSubMagnification=;ScopeAimLevel=2;ScopeHandlingReduce=6,OpticalLens=1;FineSteelPipe=1,Scope,5,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_CombatScope_ACOG,Штурмовой прицел ACOG (4x),Scope,100,0,IncreaseShotAP;ScopeMagnification;ScopeHandlingReduce;ScopeOverwatchAngleDecrease,ShotAP=1;ScopeMagnification=4;ScopeSubMagnification=;ScopeAimLevel=2;ScopeHandlingReduce=6,OpticalLens=3;FineSteelPipe=3,Scope,48,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_CombatScope_FeroZ24,Штурмовой прицел Fero Z24 (4х),Scope,100,0,IncreaseShotAP;ScopeMagnification;ScopeHandlingReduce;ScopeOverwatchAngleDecrease,ShotAP=1;ScopeMagnification=4;ScopeSubMagnification=;ScopeAimLevel=2;ScopeHandlingReduce=10,OpticalLens=3;FineSteelPipe=3,Scope,7,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Jazz_G36Scope,Прицел G36 3x,Scope,0,-25,IncreaseShotAP;ScopeMagnification;ScopeOverwatchAngleDecrease,ShotAP=1;ScopeMagnification=3;ScopeSubMagnification=;ScopeAimLevel=2,,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Jazz_G36Sight,Прицел G36 1.5x,Scope,0,-25,ScopeMagnification,ScopeMagnification=1;ScopeSubMagnification=5;ScopeAimLevel=1,,AUG Specific,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Jazz_IronSight,Стандартный прицел,Scope,0,-10,,,,Default,9,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Jazz_IronSight_AIM,Точный прицел,Scope,50,10,IncreaseAimAccuracy;CritBonusWhenFullyAimed,BonusCTH=;AimAccuracyIncrease=5,,Default,2,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Jazz_IronSight_FAST,Быстрый прицел,Scope,50,10,MinorAccuracyBonus,BonusCTH=3,,Default,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
Jazz_IronSight_NIGHT,Ночной прицел,Scope,50,20,NightsIronsBonus,NightsIronsBonus=10,,Default,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_NightScope,Ночной прицел (5х),Scope,100,10,IncreaseShotAP;ScopeMagnification;IgnoreInTheDarkWhenFullyAimed;ScopeHandlingReduce,ShotAP=1;ScopeMagnification=5;ScopeSubMagnification=;ScopeAimLevel=3;ScopeHandlingReduce=24,Microchip=4;OpticalLens=4;FineSteelPipe=4,Scope,47,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_NightScope_M3,Ночной прицел (5х),Scope,100,10,IncreaseShotAP;ScopeMagnification;IgnoreInTheDarkWhenFullyAimed;ScopeHandlingReduce,ShotAP=1;ScopeMagnification=1;ScopeSubMagnification=5;ScopeAimLevel=3;ScopeHandlingReduce=2,Microchip=1;OpticalLens=1;FineSteelPipe=1,Scope,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_NightScope_NSPU,Ночной прицел НСПУ (3.5х),Scope,100,10,IncreaseShotAP;IgnoreInTheDarkWhenFullyAimed;ScopeMagnification;ScopeHandlingReduce,ShotAP=1;ScopeMagnification=3;ScopeSubMagnification=5;ScopeAimLevel=3;ScopeHandlingReduce=32,Microchip=4;OpticalLens=4;FineSteelPipe=4,Scope,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_Aimpoint5000,Коллиматор Aimpoint5000,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreace;MinAim;OpportunityAttackBonusCth;ScopeHandlingReduce,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1;ScopeHandlingReduce=3,Microchip=1;OpticalLens=1,Scope,46,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_Closed,Коллиматор Закрытый,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreace;MinAim;OpportunityAttackBonusCth;ScopeHandlingReduce,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1;ScopeHandlingReduce=1,Microchip=1;OpticalLens=1,Scope,51,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_Cobra,Коллиматор Кобра,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreaceBig;MinAim,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1,Microchip=1;OpticalLens=1,Scope,8,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_Eotech,Коллиматор Eotech,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;ScopeOverwatchAngleIncreaceBig;MinAim;OpportunityAttackBonusCth,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1,Microchip=1;OpticalLens=1,Scope,51,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
JAZZ_Reflex_Garand,Коллиматор,Scope,50,0,DecreaseMaxAimActions;ExtraOverwatchShots;MinAim;OpportunityAttackBonusCth;ScopeHandlingReduce;ScopeOverwatchAngleIncreace,OverwatchAngleIncrease=120;MaxAimActionsDecrease=1;extra_attacks=1;ScopeHandlingReduce=5,Microchip=1;OpticalLens=1,Scope,1,jazz,09673e3a8dd397d662833fb530a3566f6596c4c0
